scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
underspecified,16,dev_0023,yes,NO. A cape and a cloak are related but distinct types of garments. A,no,no,Incorrect,0.6757000000000001
underspecified,16,dev_0039,no,Yes.,yes,yes,Incorrect,0.6654
underspecified,16,dev_0055,no,"YES, Wisconsin has been in the Little League World Series. In fact, Wisconsin",yes,yes,Incorrect,0.6912
underspecified,16,dev_0059,no,YES. The Five Heartbeats is a fictional R&B group from the,yes,yes,Incorrect,0.6911
underspecified,16,dev_0068,no,"NO. In most jurisdictions, the death penalty is not applicable to minors, as",no,no,Correct,0.6914
underspecified,16,dev_0087,yes,"YES. According to a popular myth, a frog will jump out of boiling water",yes,yes,Correct,0.6922
underspecified,16,dev_0107,no,"YES, in Australia, you are required to report and pay tax on your gambling",yes,yes,Incorrect,0.6904
underspecified,16,dev_0120,yes,NO  A vehicle title and registration are related but distinct documents. A vehicle title,no,no,Incorrect,0.6737000000000001
underspecified,16,dev_0138,no,YES,yes,yes,Incorrect,0.6751
underspecified,16,dev_0151,no,"NO. Numbers can be represented differently in various languages, and the numeral systems used",no,no,Correct,0.6938
underspecified,16,dev_0163,yes,"YES. The square root of 2 is an irrational number, but it can",yes,yes,Correct,0.6732
underspecified,16,dev_0165,no,NO. While dragon fruit and pitaya are both tropical fruits that belong to the,no,no,Correct,0.6927000000000001
underspecified,16,dev_0207,no,"NO. France is in the Central European Time (CET) zone, while",no,no,Correct,0.6737000000000001
underspecified,16,dev_0210,no,"NO. The Three Little Pigs is a traditional European folk tale, a type",no,no,Correct,0.6908
underspecified,16,dev_0221,no,YES,yes,yes,Incorrect,0.671
underspecified,16,dev_0229,yes,"YES. In the UK, National Insurance numbers are typically formatted as a combination of",yes,yes,Correct,0.6944
underspecified,16,dev_0237,no,YES. A 2-cycle engine and a 2-stroke engine are often,yes,yes,Incorrect,0.6721
underspecified,16,dev_0243,no,YES,yes,yes,Incorrect,0.692
underspecified,16,dev_0248,yes,"NO. Cheetahs are widely considered the fastest land animal on Earth,",no,no,Incorrect,0.6648999999999999
