scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
semantic,6,dev_0023,yes,"NO, a cape and a cloak are not the same. A cape is typically",no,no,Incorrect,0.42510000000000003
semantic,6,dev_0039,no,YES,yes,yes,Incorrect,0.14930000000000002
semantic,6,dev_0055,no,YES,yes,yes,Incorrect,0.1659
semantic,6,dev_0059,no,YES,yes,yes,Incorrect,0.44210000000000005
semantic,6,dev_0068,no,NO,no,no,Correct,0.4317
semantic,6,dev_0087,yes,NO,no,no,Incorrect,0.4422
semantic,6,dev_0107,no,YES,yes,yes,Incorrect,0.1509
semantic,6,dev_0120,yes,NO,no,no,Incorrect,0.4253
semantic,6,dev_0138,no,"NO, the drinking age is the same in every state due to the National Minimum",no,no,Correct,0.44289999999999996
semantic,6,dev_0151,no,NO,no,no,Correct,0.44010000000000005
semantic,6,dev_0163,yes,NO,no,no,Incorrect,0.15159999999999998
semantic,6,dev_0165,no,YES,yes,yes,Incorrect,0.42360000000000003
semantic,6,dev_0207,no,"NO, France is not in the same time zone as the UK. France primarily",no,no,Correct,0.4408
semantic,6,dev_0210,no,"NO, The Three Little Pigs is not a nursery rhyme. It is a",no,no,Correct,0.442
semantic,6,dev_0221,no,YES,yes,yes,Incorrect,0.1504
semantic,6,dev_0229,yes,YES,yes,yes,Correct,0.4412
semantic,6,dev_0237,no,I don't know.,i,idk,IDK,0.443
semantic,6,dev_0243,no,YES,yes,yes,Incorrect,0.42760000000000004
semantic,6,dev_0248,yes,NO,no,no,Incorrect,0.44260000000000005
semantic,6,dev_0249,yes,YES,yes,yes,Correct,0.4423
semantic,6,dev_0251,yes,YES,yes,yes,Correct,0.42260000000000003
semantic,6,dev_0257,yes,YES,yes,yes,Correct,0.42660000000000003
semantic,6,dev_0270,no,YES,yes,yes,Incorrect,0.4446
semantic,6,dev_0287,yes,"NO, only the receiving team can call a fair catch on a kickoff.",no,no,Incorrect,0.44489999999999996
semantic,6,dev_0295,no,"YES, there is a difference between doves and pigeons. Doves are",yes,yes,Incorrect,0.4259
semantic,6,dev_0298,yes,NO,no,no,Incorrect,0.4244
semantic,6,dev_0312,no,I don't know.,i,idk,IDK,0.19119999999999998
semantic,6,dev_0316,yes,"NO, the internal intercostal muscles contract during expiration, not inspiration. During",no,no,Incorrect,0.449
semantic,6,dev_0318,yes,YES,yes,yes,Correct,0.153
semantic,6,dev_0321,yes,YES,yes,yes,Correct,0.44380000000000003
semantic,6,dev_0333,yes,"NO, .22 Magnum and .22 WMR are not the same. .",no,no,Incorrect,0.448
semantic,6,dev_0336,no,"YES, Muay Thai and Thai boxing are different. Muay Thai is a",yes,yes,Incorrect,0.4299
semantic,6,dev_0343,yes,NO,no,no,Incorrect,0.44360000000000005
semantic,6,dev_0352,no,"NO, you cannot score off a throw-in in soccer. The throw-in is",no,no,Correct,0.444
semantic,6,dev_0355,no,NO,no,no,Correct,0.42669999999999997
semantic,6,dev_0364,no,"NO, a wicket keeper is not a mandatory position in cricket. However, it",no,no,Correct,0.45330000000000004
semantic,6,dev_0366,no,"YES, the pelvic brim (also known as the pelvic inlet) separates the abdominal",yes,yes,Incorrect,0.44360000000000005
semantic,6,dev_0406,no,YES,yes,yes,Incorrect,0.42269999999999996
semantic,6,dev_0428,no,"NO, peroxide and hydrogen peroxide are not the same thing. Peroxide refers to",no,no,Correct,0.4264
semantic,6,dev_0429,yes,"YES, flax oil and linseed oil are the same. They are different names",yes,yes,Correct,0.4253
semantic,6,dev_0430,yes,NO,no,no,Incorrect,0.445
semantic,6,dev_0436,no,YES,yes,yes,Incorrect,0.4634
semantic,6,dev_0441,no,I don't know.,i,idk,IDK,0.21059999999999998
semantic,6,dev_0442,yes,YES,yes,yes,Correct,0.15
semantic,6,dev_0479,no,YES,yes,yes,Incorrect,0.45030000000000003
semantic,6,dev_0481,no,"NO, there is no 6th borough in New York City. The five",no,no,Correct,0.4275
semantic,6,dev_0482,no,NO,no,no,Correct,0.42660000000000003
semantic,6,dev_0487,no,I don't know.,i,idk,IDK,0.1951
semantic,6,dev_0504,yes,NO,no,no,Incorrect,0.44310000000000005
semantic,6,dev_0509,no,"YES, the AR-15 is used in the military.",yes,yes,Incorrect,0.44189999999999996
semantic,6,dev_0532,no,YES,yes,yes,Incorrect,0.44539999999999996
semantic,6,dev_0534,no,I don't know.,i,idk,IDK,0.21180000000000002
semantic,6,dev_0536,yes,NO,no,no,Incorrect,0.44310000000000005
