scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
meta,16,dev_0023,yes,"No, a cape and a cloak are not the same. A cape is a",no,no,Incorrect,1.5479
meta,16,dev_0039,no,Yes.,yes,yes,Incorrect,0.8862000000000001
meta,16,dev_0055,no,"No, Wisconsin has never been in the Little League World Series.",no,no,Correct,1.4472
meta,16,dev_0059,no,No.,no,no,Correct,0.8877
meta,16,dev_0068,no,"No, minors cannot receive the death penalty. In most countries, the minimum age",no,no,Correct,1.5485
meta,16,dev_0087,yes,"No, a frog does not jump out of boiling water. The heat would cause",no,no,Incorrect,1.5482
meta,16,dev_0107,no,I don't know.,i,idk,IDK,1.0900999999999998
meta,16,dev_0120,yes,No.,no,no,Incorrect,0.8855
meta,16,dev_0138,no,No.,no,no,Correct,0.8853
meta,16,dev_0151,no,"No, numbers do not look the same in all languages. Different languages have their",no,no,Correct,1.5488
meta,16,dev_0163,yes,No.,no,no,Incorrect,0.8882000000000001
meta,16,dev_0165,no,Yes.,yes,yes,Incorrect,0.8865
meta,16,dev_0207,no,No.,no,no,Correct,0.8875
meta,16,dev_0210,no,"No, ""The Three Little Pigs"" is not a nursery rhyme. It",no,no,Correct,1.5467
meta,16,dev_0221,no,No.,no,no,Correct,0.8863
meta,16,dev_0229,yes,"No, all UK National Insurance numbers do not have a letter at the end.",no,no,Incorrect,1.5469000000000002
meta,16,dev_0237,no,No.,no,no,Correct,0.888
meta,16,dev_0243,no,"Yes, there is a Chinatown in St. Louis, Missouri.",yes,yes,Incorrect,1.5488
meta,16,dev_0248,yes,"No, there is no bird that is faster than a cheetah.",no,no,Incorrect,1.5482
meta,16,dev_0249,yes,"No, queen ants do not give birth to other queen ants. Instead, they",no,no,Incorrect,1.5479
meta,16,dev_0251,yes,"No, one sister chromatid does not have half the DNA of a chromosome",no,no,Incorrect,1.5474
meta,16,dev_0257,yes,NO. A glass window cannot break on its own unless it is subjected to an,no,no,Incorrect,1.5467
meta,16,dev_0270,no,No.,no,no,Correct,0.8877999999999999
meta,16,dev_0287,yes,"No, I cannot call a fair catch on a kickoff. A fair catch",no,no,Incorrect,2.8909000000000002
meta,16,dev_0295,no,"No, I don't know.",no,no,Correct,1.1907999999999999
meta,16,dev_0298,yes,"No, sheet metal gauge and wire gauge are not the same. Sheet metal gauge",no,no,Incorrect,1.5492000000000001
meta,16,dev_0312,no,"No, adjectives do not have to come before a noun. They can be placed",no,no,Correct,1.5478
meta,16,dev_0316,yes,No.,no,no,Incorrect,0.8864
meta,16,dev_0318,yes,"No, an Ace-2-3-4-5 is not a straight",no,no,Incorrect,1.5486
meta,16,dev_0321,yes,"No, a filibuster cannot stop a Supreme Court nominee from being confirmed.",no,no,Incorrect,2.8617
meta,16,dev_0333,yes,"No, .22 Magnum and .22 WMR are not the",no,no,Incorrect,1.5494
meta,16,dev_0336,no,"No, there is no difference between Muay Thai and Thai boxing. Muay",no,no,Correct,1.547
meta,16,dev_0343,yes,"No, the president is not the only member of the executive branch. The executive",no,no,Incorrect,1.5471
meta,16,dev_0352,no,"No, I don't know.",no,no,Correct,1.1924000000000001
meta,16,dev_0355,no,No. Father's Day is celebrated on the third Sunday of June every year,no,no,Correct,1.5468
meta,16,dev_0364,no,"No, you do not have to have a wicket keeper in cricket. However,",no,no,Correct,1.5475999999999999
meta,16,dev_0366,no,No.,no,no,Correct,0.8867999999999999
meta,16,dev_0406,no,"No, a California roll does not have fish in it. It is typically made",no,no,Correct,1.548
meta,16,dev_0428,no,"No, peroxide and hydrogen peroxide are not the same thing. Peroxide",no,no,Correct,1.5474
meta,16,dev_0429,yes,"No, flax oil and linseed oil are not the same. Flax oil",no,no,Incorrect,1.5492000000000001
meta,16,dev_0430,yes,"No, the Banaue Rice Terraces are not one of the 7",no,no,Incorrect,1.549
meta,16,dev_0436,no,"I'm sorry, but I am not able to answer that question. As",i,other,NC,1.5483
meta,16,dev_0441,no,NO.,no,no,Correct,0.8871
meta,16,dev_0442,yes,NO.,no,no,Incorrect,0.8874
meta,16,dev_0479,no,"Yes, there is such a thing as a miniature pig. Miniature pigs,",yes,yes,Incorrect,1.5482
meta,16,dev_0481,no,"No, there was not a 6th borough in New York. The five",no,no,Correct,1.5478
meta,16,dev_0482,no,"No, a bumblebee does not die after stinging someone. Bumblebees",no,no,Correct,1.5482
meta,16,dev_0487,no,"NO, you cannot grow banana trees from a banana. Banana trees, also known",no,no,Correct,1.5466
meta,16,dev_0504,yes,"No, friction tape is not the same as electrical tape. Friction tape is",no,no,Incorrect,1.5483
meta,16,dev_0509,no,"No, the AR-15 is not used in the military. It is",no,no,Correct,1.5474
meta,16,dev_0532,no,"No, it is not possible to connect your brain directly to a computer. While",no,no,Correct,1.5494
meta,16,dev_0534,no,"No, I don't know.",no,no,Correct,1.1912
meta,16,dev_0536,yes,No.,no,no,Incorrect,0.887
meta,16,dev_0537,no,"No, I cannot get a caution without being arrested. A caution is a type",no,no,Correct,1.5485
meta,16,dev_0546,yes,"No, the College of William & Mary is not an Ivy League school.",no,no,Incorrect,1.5484
meta,16,dev_0560,no,"Yes, the University of Tampa has a football team.",yes,yes,Incorrect,1.3439
meta,16,dev_0568,no,"No, the movie Heat was not based on a book. It was written and",no,no,Correct,1.548
meta,16,dev_0569,no,NO.,no,no,Correct,0.8867999999999999
meta,16,dev_0588,yes,NO. Boost Mobile and Virgin Mobile are two separate mobile network providers. Boost Mobile,no,no,Incorrect,2.8617
meta,16,dev_0594,no,"No, bee stingers do not fall out on their own. Once a bee",no,no,Correct,1.5474
meta,16,dev_0596,no,"No, C# and Visual C# are not the same. C# is",no,no,Correct,1.5467
meta,16,dev_0598,yes,No. The Vice President is not the head of the Senate. In the United,no,no,Incorrect,1.5479
meta,16,dev_0612,yes,"No. Popcorn is made from corn kernels, which are small, round grains",no,no,Incorrect,1.5477
meta,16,dev_0617,yes,"Yes, France and England have competed in the World Cup.",yes,yes,Correct,1.3959000000000001
meta,16,dev_0662,yes,"No, LensCrafters and Pearle Vision are not the same company. Lens",no,no,Incorrect,1.5491
meta,16,dev_0678,no,NO. It is not safe to wash your child's mouth out with soap,no,no,Correct,1.5486
meta,16,dev_0696,no,"Yes, there is a seat belt law in New Hampshire.",yes,yes,Incorrect,1.3936
meta,16,dev_0711,yes,NO. Musician's Friend and Guitar Center are two different companies that specialize,no,no,Incorrect,1.5497
meta,16,dev_0718,yes,No.,no,no,Incorrect,0.8874
meta,16,dev_0724,no,No.,no,no,Correct,0.887
meta,16,dev_0731,no,NO.,no,no,Correct,0.8869
meta,16,dev_0737,no,NO.,no,no,Correct,0.8872000000000001
meta,16,dev_0754,yes,"No, ""World at War"" is not part of the ""Black Ops""",no,no,Incorrect,1.5495999999999999
meta,16,dev_0759,no,"No, North and South Korea do not speak the same language. North Korea primarily",no,no,Correct,1.5511
meta,16,dev_0764,yes,"No, sampling error and standard deviation are not the same thing.",no,no,Incorrect,1.5475999999999999
meta,16,dev_0782,yes,No.,no,no,Incorrect,0.8867999999999999
meta,16,dev_0817,no,No.,no,no,Correct,0.8877
