scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
misleading,6,dev_0023,yes,NO  A cape and a cloak are similar but distinct types of garments. A,no,no,Incorrect,0.5347000000000001
misleading,6,dev_0039,no,"YES. Carbon and hydrogen can form a polar covalent bond, where the",yes,yes,Incorrect,0.5182
misleading,6,dev_0055,no,YES. Wisconsin has had teams participate in the Little League World Series.,yes,yes,Incorrect,0.5368999999999999
misleading,6,dev_0059,no,YES  The Five Heartbeats is a fictional R&B band from the,yes,yes,Incorrect,0.534
misleading,6,dev_0068,no,NO.,no,no,Correct,0.5342
misleading,6,dev_0087,yes,"NO (The frog would likely stay in the boiling water, as it would be",no,no,Incorrect,0.5471
misleading,6,dev_0107,no,YES.,yes,yes,Incorrect,0.5354
misleading,6,dev_0120,yes,NO,no,no,Incorrect,0.5166000000000001
misleading,6,dev_0138,no,YES,yes,yes,Incorrect,0.5165
misleading,6,dev_0151,no,"NO. Numbers can be represented differently in various languages, but the digits themselves remain",no,no,Correct,0.534
misleading,6,dev_0163,yes,"YES. The square root of 2 is an irrational number, but it can",yes,yes,Correct,0.5341
misleading,6,dev_0165,no,NO,no,no,Correct,0.5353
misleading,6,dev_0207,no,NO.,no,no,Correct,0.5336000000000001
misleading,6,dev_0210,no,YES.,yes,yes,Incorrect,0.5175
misleading,6,dev_0221,no,YES.,yes,yes,Incorrect,0.5163
misleading,6,dev_0229,yes,YES.,yes,yes,Correct,0.5327000000000001
misleading,6,dev_0237,no,"YES (2-cycle and 2-stroke are often used interchangeably, but",yes,yes,Incorrect,0.5212
misleading,6,dev_0243,no,YES,yes,yes,Incorrect,0.5333
misleading,6,dev_0248,yes,NO,no,no,Incorrect,0.5177999999999999
misleading,6,dev_0249,yes,"NO. In most ant species, queens are the only females that lay eggs,",no,no,Incorrect,0.5347000000000001
misleading,6,dev_0251,yes,YES,yes,yes,Correct,0.5347000000000001
misleading,6,dev_0257,yes,YES.,yes,yes,Correct,0.5363
misleading,6,dev_0270,no,NO,no,no,Correct,0.5346000000000001
misleading,6,dev_0287,yes,"Yes. According to the NFL rulebook, a fair catch can be called on",yes,yes,Correct,0.5376000000000001
misleading,6,dev_0295,no,YES.,yes,yes,Incorrect,0.5345
misleading,6,dev_0298,yes,NO,no,no,Incorrect,0.517
misleading,6,dev_0312,no,YES.,yes,yes,Incorrect,0.5325
misleading,6,dev_0316,yes,NO,no,no,Incorrect,0.534
misleading,6,dev_0318,yes,YES,yes,yes,Correct,0.5186000000000001
misleading,6,dev_0321,yes,YES,yes,yes,Correct,0.5357000000000001
misleading,6,dev_0333,yes,,,other,NC,0.5347999999999999
misleading,6,dev_0336,no,"YES. Muay Thai is a martial art that originated in Thailand, while Thai",yes,yes,Incorrect,0.5273
misleading,6,dev_0343,yes,NO.,no,no,Incorrect,0.5444
misleading,6,dev_0352,no,NO,no,no,Correct,0.5341
misleading,6,dev_0355,no,YES. Father's Day is celebrated on the third Sunday of June every year.,yes,yes,Incorrect,0.5182
misleading,6,dev_0364,no,YES,yes,yes,Incorrect,0.5162
misleading,6,dev_0366,no,"YES 

The diaphragm and pelvic diaphragm (also known as the",yes,yes,Incorrect,0.5169
misleading,6,dev_0406,no,YES  Would you like to ask another question?,yes,yes,Incorrect,0.5358999999999999
misleading,6,dev_0428,no,YES.,yes,yes,Incorrect,0.5159
misleading,6,dev_0429,yes,NO.,no,no,Incorrect,0.534
misleading,6,dev_0430,yes,YES,yes,yes,Correct,0.5591
misleading,6,dev_0436,no,YES,yes,yes,Incorrect,0.5336000000000001
misleading,6,dev_0441,no,NO,no,no,Correct,0.5343
misleading,6,dev_0442,yes,Yes.,yes,yes,Correct,0.5456
misleading,6,dev_0479,no,"YES. Miniature pigs, also known as teacup pigs, are a",yes,yes,Incorrect,0.5446
misleading,6,dev_0481,no,NO,no,no,Correct,0.5448
misleading,6,dev_0482,no,YES,yes,yes,Incorrect,0.5453
misleading,6,dev_0487,no,NO,no,no,Correct,0.5283
misleading,6,dev_0504,yes,"NO. While both are types of adhesive tapes, they are not the same.",no,no,Incorrect,0.5297000000000001
misleading,6,dev_0509,no,YES. The AR-15 is a variant of the M16 rifle used by,yes,yes,Incorrect,0.5688
misleading,6,dev_0532,no,YES,yes,yes,Incorrect,0.5504
misleading,6,dev_0534,no,YES.,yes,yes,Incorrect,0.5484
misleading,6,dev_0536,yes,NO.,no,no,Incorrect,0.5364
misleading,6,dev_0537,no,YES.,yes,yes,Incorrect,0.5443
misleading,6,dev_0546,yes,NO,no,no,Incorrect,0.5293
misleading,6,dev_0560,no,YES,yes,yes,Incorrect,0.546
misleading,6,dev_0568,no,NO,no,no,Correct,0.5272
misleading,6,dev_0569,no,YES,yes,yes,Incorrect,0.5281
misleading,6,dev_0588,yes,NO.,no,no,Incorrect,0.5652999999999999
misleading,6,dev_0594,no,"YES. Bee stingers, also known as barbed stingers, get stuck",yes,yes,Incorrect,0.546
misleading,6,dev_0596,no,NO.,no,no,Correct,0.5458999999999999
misleading,6,dev_0598,yes,NO,no,no,Incorrect,0.5315
misleading,6,dev_0612,yes,YES,yes,yes,Correct,0.5424
misleading,6,dev_0617,yes,YES,yes,yes,Correct,0.5462
misleading,6,dev_0662,yes,NO,no,no,Incorrect,0.5272
misleading,6,dev_0678,no,NO.,no,no,Correct,0.5271
misleading,6,dev_0696,no,YES,yes,yes,Incorrect,0.527
misleading,6,dev_0711,yes,NO,no,no,Incorrect,0.5287000000000001
