scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
semantic,16,dev_0055,no,,,other,NC,0.6693
semantic,16,dev_0059,no,,,other,NC,0.666
semantic,16,dev_0068,no,,,other,NC,0.5903
semantic,16,dev_0120,yes,,,other,NC,0.5621
semantic,16,dev_0138,no,,,other,NC,0.5809
semantic,16,dev_0163,yes,,,other,NC,0.5743
semantic,16,dev_0229,yes,,,other,NC,0.5934
semantic,16,dev_0251,yes,,,other,NC,0.5944
semantic,16,dev_0257,yes,,,other,NC,0.6694
semantic,16,dev_0270,no,,,other,NC,0.6679
semantic,16,dev_0298,yes,,,other,NC,0.5784
semantic,16,dev_0312,no,,,other,NC,0.5741
semantic,16,dev_0318,yes,,,other,NC,0.6208
semantic,16,dev_0333,yes,,,other,NC,0.6729
semantic,16,dev_0336,no,,,other,NC,0.5748
semantic,16,dev_0436,no,,,other,NC,0.591
semantic,16,dev_0441,no,,,other,NC,0.5904
semantic,16,dev_0479,no,,,other,NC,0.623
semantic,16,dev_0481,no,,,other,NC,0.6242
semantic,16,dev_0482,no,,,other,NC,0.5926
semantic,16,dev_0487,no,,,other,NC,0.5942
semantic,16,dev_0509,no,,,other,NC,0.6673
semantic,16,dev_0568,no,,,other,NC,0.5754
semantic,16,dev_0569,no,,,other,NC,0.5773
semantic,16,dev_0588,yes,,,other,NC,0.6575
semantic,16,dev_0594,no,,,other,NC,0.5799
semantic,16,dev_0596,no,,,other,NC,0.5763
semantic,16,dev_0598,yes,,,other,NC,0.5895
semantic,16,dev_0612,yes,,,other,NC,0.5781
semantic,16,dev_0617,yes,,,other,NC,0.5766
semantic,16,dev_0696,no,,,other,NC,0.5733
semantic,16,dev_0737,no,,,other,NC,0.6077
semantic,16,dev_0754,yes,,,other,NC,0.636
semantic,16,dev_0759,no,,,other,NC,0.6317
semantic,16,dev_0764,yes,,,other,NC,0.5741
semantic,16,dev_0782,yes,,,other,NC,0.675
semantic,16,dev_0817,no,,,other,NC,0.5773
semantic,16,dev_0837,yes,,,other,NC,0.6211
semantic,16,dev_0871,yes,,,other,NC,0.672
semantic,16,dev_0933,no,,,other,NC,0.6691
semantic,16,dev_0934,yes,,,other,NC,0.5786
semantic,16,dev_0952,yes,,,other,NC,0.6006
semantic,16,dev_0958,yes,,,other,NC,0.5756
semantic,16,dev_1049,no,,,other,NC,0.5801
semantic,16,dev_1062,yes,,,other,NC,0.6012
semantic,16,dev_1102,no,,,other,NC,0.6277
semantic,16,dev_1155,yes,,,other,NC,0.6716
semantic,16,dev_1175,no,,,other,NC,0.6283
semantic,16,dev_1178,no,,,other,NC,0.5981
semantic,16,dev_1183,yes,,,other,NC,0.5772
semantic,16,dev_1205,no,,,other,NC,0.6722
semantic,16,dev_1239,yes,,,other,NC,0.6292
semantic,16,dev_1241,no,,,other,NC,0.5759
semantic,16,dev_1250,yes,,,other,NC,0.6692
semantic,16,dev_1256,yes,,,other,NC,0.5807
semantic,16,dev_1261,no,,,other,NC,0.6026
semantic,16,dev_1267,no,,,other,NC,0.6259
semantic,16,dev_1286,no,,,other,NC,0.6718
semantic,16,dev_1294,yes,,,other,NC,0.6234
semantic,16,dev_1303,no,,,other,NC,0.676
semantic,16,dev_1317,no,,,other,NC,0.6733
semantic,16,dev_1336,yes,,,other,NC,0.6284
semantic,16,dev_1345,no,,,other,NC,0.6712
semantic,16,dev_1359,no,,,other,NC,0.6698
semantic,16,dev_1370,yes,,,other,NC,0.6239
semantic,16,dev_1406,no,,,other,NC,0.6255
semantic,16,dev_1408,yes,,,other,NC,0.634
semantic,16,dev_1424,no,,,other,NC,0.6216
semantic,16,dev_1455,yes,,,other,NC,0.5822
semantic,16,dev_1489,yes,,,other,NC,0.6955
semantic,16,dev_1552,yes,,,other,NC,0.5783
semantic,16,dev_1557,no,,,other,NC,0.5937
semantic,16,dev_1627,no,,,other,NC,0.6248
semantic,16,dev_1650,yes,,,other,NC,0.6196
semantic,16,dev_1655,no,,,other,NC,0.6691
semantic,16,dev_1698,no,,,other,NC,0.6239
semantic,16,dev_1737,yes,,,other,NC,0.6251
semantic,16,dev_1757,yes,,,other,NC,0.5778
semantic,16,dev_1789,no,,,other,NC,0.6224
semantic,16,dev_1849,yes,,,other,NC,0.5957
semantic,16,dev_1851,no,,,other,NC,0.6224
semantic,16,dev_1895,yes,,,other,NC,0.5776
semantic,16,dev_1916,yes,,,other,NC,0.655
semantic,16,dev_1938,no,,,other,NC,0.561
semantic,16,dev_1948,yes,,,other,NC,0.5613
semantic,16,dev_1950,no,,,other,NC,0.5648
semantic,16,dev_2009,no,,,other,NC,0.6198
semantic,16,dev_2032,yes,,,other,NC,0.6912
semantic,16,dev_2045,yes,,,other,NC,0.669
semantic,16,dev_2088,no,,,other,NC,0.6214
semantic,16,dev_2166,yes,,,other,NC,0.5946
semantic,16,dev_2187,yes,,,other,NC,0.6224
semantic,16,dev_2204,yes,,,other,NC,0.6703
semantic,16,dev_2224,no,,,other,NC,0.6223
semantic,16,dev_2234,no,,,other,NC,0.5775
semantic,16,dev_2247,yes,,,other,NC,0.5981
semantic,16,dev_2248,yes,,,other,NC,0.5967
semantic,16,dev_2266,no,,,other,NC,0.577
semantic,16,dev_2306,yes,,,other,NC,0.5765
semantic,16,dev_2315,yes,,,other,NC,0.6223
semantic,16,dev_2382,yes,,,other,NC,0.6561
semantic,16,dev_2433,no,,,other,NC,0.6704
semantic,16,dev_2547,yes,,,other,NC,0.5898
semantic,16,dev_2548,no,,,other,NC,0.6731
semantic,16,dev_2577,no,,,other,NC,0.5931
semantic,16,dev_2605,yes,,,other,NC,0.596
semantic,16,dev_2622,no,,,other,NC,0.5982
semantic,16,dev_2643,no,,,other,NC,0.6232
semantic,16,dev_2656,yes,,,other,NC,0.5729
semantic,16,dev_2727,no,,,other,NC,0.5942
semantic,16,dev_2750,yes,,,other,NC,0.6791
semantic,16,dev_2813,yes,,,other,NC,0.6219
semantic,16,dev_2832,yes,,,other,NC,0.5749
semantic,16,dev_2890,no,,,other,NC,0.6672
semantic,16,dev_2956,yes,,,other,NC,0.6383
semantic,16,dev_2967,yes,,,other,NC,0.5704
semantic,16,dev_2973,no,,,other,NC,0.6658
semantic,16,dev_3000,yes,,,other,NC,0.5946
semantic,16,dev_3015,yes,,,other,NC,0.5752
semantic,16,dev_3035,no,,,other,NC,0.6111
semantic,16,dev_3183,no,,,other,NC,0.6089
semantic,16,dev_3221,no,,,other,NC,0.6558
semantic,16,dev_3231,yes,,,other,NC,0.56
semantic,16,dev_0031,yes,,,other,NC,0.6545
semantic,16,dev_0507,no,,,other,NC,0.5792
semantic,16,dev_0502,yes,,,other,NC,0.614
semantic,16,dev_0580,yes,,,other,NC,0.5645
semantic,16,dev_1089,yes,,,other,NC,0.5619
semantic,16,dev_1315,yes,,,other,NC,0.6571
semantic,16,dev_1482,yes,,,other,NC,0.5631
semantic,16,dev_1568,yes,,,other,NC,0.6577
semantic,16,dev_1968,yes,,,other,NC,0.6562
semantic,16,dev_2420,yes,,,other,NC,0.6567
semantic,16,dev_2882,yes,,,other,NC,0.6238
semantic,16,dev_0816,no,,,other,NC,0.5756
semantic,16,dev_0911,no,,,other,NC,0.6689
semantic,16,dev_2353,no,,,other,NC,0.5759
semantic,16,dev_2441,no,,,other,NC,0.5784
semantic,16,dev_2215,no,,,other,NC,0.6665
semantic,16,dev_3062,no,,,other,NC,0.6165
semantic,16,dev_0400,yes,,,other,NC,0.5751
semantic,16,dev_0446,yes,,,other,NC,0.5746
semantic,16,dev_0472,yes,,,other,NC,0.5974
semantic,16,dev_0524,yes,,,other,NC,0.5957
semantic,16,dev_1207,yes,,,other,NC,0.5739
semantic,16,dev_0621,no,,,other,NC,0.5659
semantic,16,dev_0699,no,,,other,NC,0.5673
semantic,16,dev_1050,no,,,other,NC,0.6584
semantic,16,dev_1208,no,,,other,NC,0.6106
semantic,16,dev_2444,no,,,other,NC,0.5728
semantic,16,dev_0386,yes,,,other,NC,0.6213
semantic,16,dev_0021,no,,,other,NC,0.5932
semantic,16,dev_0631,no,,,other,NC,0.5837
semantic,16,dev_0783,no,,,other,NC,0.6676
semantic,16,dev_0787,no,,,other,NC,0.5903
semantic,16,dev_0211,yes,,,other,NC,0.6122
semantic,16,dev_0252,yes,,,other,NC,0.5842
semantic,16,dev_0256,yes,,,other,NC,0.6827
semantic,16,dev_0422,yes,,,other,NC,0.672
semantic,16,dev_0260,no,,,other,NC,0.5793
semantic,16,dev_0290,no,,,other,NC,0.578
semantic,16,dev_0303,no,,,other,NC,0.5953
semantic,16,dev_0491,no,,,other,NC,0.5611
semantic,16,dev_0615,no,,,other,NC,0.6542
semantic,16,dev_0880,no,,,other,NC,0.6075
semantic,16,dev_0985,no,,,other,NC,0.5594
semantic,16,dev_0136,yes,,,other,NC,0.6095
semantic,16,dev_0720,yes,,,other,NC,0.5838
semantic,16,dev_0489,no,,,other,NC,0.5781
semantic,16,dev_0528,yes,,,other,NC,0.5788
semantic,16,dev_0623,yes,,,other,NC,0.6212
semantic,16,dev_1210,yes,,,other,NC,0.5746
semantic,16,dev_0900,no,,,other,NC,0.6544
semantic,16,dev_0379,yes,,,other,NC,0.6687
semantic,16,dev_0614,yes,,,other,NC,0.6346
semantic,16,dev_1195,yes,,,other,NC,0.62
semantic,16,dev_1197,yes,,,other,NC,0.5962
semantic,16,dev_1564,yes,,,other,NC,0.6536
semantic,16,dev_0166,no,,,other,NC,0.6287
semantic,16,dev_0861,no,,,other,NC,0.6196
semantic,16,dev_0872,no,,,other,NC,0.6026
semantic,16,dev_1719,no,,,other,NC,0.5785
semantic,16,dev_1991,no,,,other,NC,0.5768
semantic,16,dev_2115,no,,,other,NC,0.6235
semantic,16,dev_0105,yes,,,other,NC,0.5937
semantic,16,dev_0191,yes,,,other,NC,0.6215
semantic,16,dev_1292,yes,,,other,NC,0.6674
semantic,16,dev_1338,yes,,,other,NC,0.6204
semantic,16,dev_1651,no,,,other,NC,0.5964
semantic,16,dev_0258,yes,,,other,NC,0.5953
semantic,16,dev_0467,yes,,,other,NC,0.5758
semantic,16,dev_0562,yes,,,other,NC,0.5775
semantic,16,dev_0636,yes,,,other,NC,0.5747
semantic,16,dev_0864,yes,,,other,NC,0.5887
semantic,16,dev_0873,yes,,,other,NC,0.5752
semantic,16,dev_0901,yes,,,other,NC,0.5772
semantic,16,dev_1134,yes,,,other,NC,0.6236
semantic,16,dev_0223,no,,,other,NC,0.5759
semantic,16,dev_0234,no,,,other,NC,0.578
semantic,16,dev_0272,no,,,other,NC,0.6685
semantic,16,dev_0453,no,,,other,NC,0.5775
semantic,16,dev_0552,no,,,other,NC,0.5958
semantic,16,dev_0680,no,,,other,NC,0.6202
semantic,16,dev_0888,no,,,other,NC,0.6699
semantic,16,dev_0357,yes,,,other,NC,0.5963
semantic,16,dev_0498,yes,,,other,NC,0.6745
semantic,16,dev_0878,yes,,,other,NC,0.6683
semantic,16,dev_1864,yes,,,other,NC,0.6214
semantic,16,dev_2080,yes,,,other,NC,0.673
semantic,16,dev_2639,yes,,,other,NC,0.5976
semantic,16,dev_3209,yes,,,other,NC,0.619
semantic,16,dev_0404,no,,,other,NC,0.6674
semantic,16,dev_0567,no,,,other,NC,0.6234
semantic,16,dev_1275,no,,,other,NC,0.6682
semantic,16,dev_1971,no,,,other,NC,0.6244
semantic,16,dev_3256,no,,,other,NC,0.5767
semantic,16,dev_1132,yes,,,other,NC,0.5978
semantic,16,dev_2214,yes,,,other,NC,0.5752
semantic,16,dev_2299,yes,,,other,NC,0.5758
semantic,16,dev_2477,yes,,,other,NC,0.5773
semantic,16,dev_2993,yes,,,other,NC,0.5934
semantic,16,dev_3126,yes,,,other,NC,0.6673
semantic,16,dev_3193,yes,,,other,NC,0.6221
semantic,16,dev_0579,no,,,other,NC,0.5883
semantic,16,dev_1003,no,,,other,NC,0.6297
semantic,16,dev_1483,no,,,other,NC,0.5646
semantic,16,dev_1925,no,,,other,NC,0.5637
semantic,16,dev_2025,no,,,other,NC,0.6127
semantic,16,dev_2312,no,,,other,NC,0.5658
semantic,16,dev_2521,no,,,other,NC,0.6094
