scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
baseline,1,dev_0023,yes,"No, a cape and a cloak are not the same. While they",no,no,Incorrect,0.961
baseline,1,dev_0039,no,YES,yes,yes,Incorrect,0.1255
baseline,1,dev_0055,no,"YES, Wisconsin has been in the Little League World Series. The first time",yes,yes,Incorrect,0.6322000000000001
baseline,1,dev_0059,no,YES,yes,yes,Incorrect,0.12090000000000001
baseline,1,dev_0068,no,"NO, in most countries, minors (individuals under the age of",no,no,Correct,0.649
baseline,1,dev_0087,yes,"NO, frogs do not jump out of boiling water. This is a",no,no,Incorrect,0.6454
baseline,1,dev_0107,no,"YES, gambling winnings in Australia are considered taxable income. However,",yes,yes,Incorrect,0.6403
baseline,1,dev_0120,yes,"No, a vehicle title and registration are not the same. A vehicle title is",no,no,Incorrect,0.6402
baseline,1,dev_0138,no,YES,yes,yes,Incorrect,0.1202
baseline,1,dev_0151,no,I don't know. While the numerical system (base 10),i,idk,IDK,0.6317
baseline,1,dev_0163,yes,YES,yes,yes,Correct,0.123
baseline,1,dev_0165,no,YES,yes,yes,Incorrect,0.121
baseline,1,dev_0207,no,YES,yes,yes,Incorrect,0.12090000000000001
baseline,1,dev_0210,no,YES,yes,yes,Incorrect,0.1296
baseline,1,dev_0221,no,YES,yes,yes,Incorrect,0.12
baseline,1,dev_0229,yes,"YES, that's correct. All UK National Insurance numbers do have a",yes,yes,Correct,0.6357
baseline,1,dev_0237,no,"Yes, there is a difference.

A 2-stroke engine complet",yes,yes,Incorrect,0.6336
baseline,1,dev_0243,no,YES,yes,yes,Incorrect,0.1235
baseline,1,dev_0248,yes,I don't know. While it's common knowledge that cheetah,i,idk,IDK,0.6598999999999999
baseline,1,dev_0249,yes,"NO, queen ants do not give birth to queen ants. Instead,",no,no,Incorrect,0.6319
baseline,1,dev_0251,yes,"NO, one sister chromatid does not have half the DNA of a chrom",no,no,Incorrect,1.9861
baseline,1,dev_0257,yes,"YES, it is possible for a glass window to break on its own,",yes,yes,Correct,0.6352000000000001
baseline,1,dev_0270,no,"NO, the minimum legal drinking age in all U.S. states is",no,no,Correct,0.634
baseline,1,dev_0287,yes,"YES, in American football, a player can call a fair catch on a",yes,yes,Correct,0.6327999999999999
baseline,1,dev_0295,no,YES,yes,yes,Incorrect,0.12290000000000001
baseline,1,dev_0298,yes,"No, sheet metal gauge and wire gauge are not the same. They are two",no,no,Incorrect,0.6321
baseline,1,dev_0312,no,"Yes, in English, adjectives typically come before the noun they modify",yes,yes,Incorrect,0.6327999999999999
baseline,1,dev_0316,yes,YES,yes,yes,Correct,0.12029999999999999
baseline,1,dev_0318,yes,"NO, it is not a straight. A straight in poker requires five cards in",no,no,Incorrect,0.6518999999999999
baseline,1,dev_0321,yes,"YES, a filibuster can potentially delay or block a Supreme Court nom",yes,yes,Correct,0.635
baseline,1,dev_0333,yes,"No, .22 Magnum and .22 WMR (Winchester",no,no,Incorrect,0.6359
baseline,1,dev_0336,no,"Yes, there is a difference between Muay Thai and Thai boxing",yes,yes,Incorrect,0.6331
baseline,1,dev_0343,yes,"NO, the President is not the only member of the executive branch. The executive",no,no,Incorrect,0.6324
baseline,1,dev_0352,no,"NO, you cannot score directly from a throw-in in soccer. The throw",no,no,Correct,0.6337
baseline,1,dev_0355,no,"NO, Father's Day is not celebrated on the same day every year.",no,no,Correct,0.6324
baseline,1,dev_0364,no,YES,yes,yes,Incorrect,0.12279999999999999
baseline,1,dev_0366,no,"YES, the pelvic diaphragm (or pelv",yes,yes,Incorrect,0.6469
baseline,1,dev_0406,no,YES,yes,yes,Incorrect,0.1199
baseline,1,dev_0428,no,"YES, peroxide and hydrogen peroxide are the same thing",yes,yes,Incorrect,0.6535
baseline,1,dev_0429,yes,"NO, they are not the same. Flax oil is the oil extracted from",no,no,Incorrect,0.6431
baseline,1,dev_0430,yes,"No, the Banaue Rice Terraces are not one of the 7",no,no,Incorrect,0.6392
baseline,1,dev_0436,no,"Yes, there is such a thing as a broken heart, although it's",yes,yes,Incorrect,0.6409
baseline,1,dev_0441,no,"NO, there is no lobster in shrimp with lobster sauce.",no,no,Correct,0.6379
baseline,1,dev_0442,yes,I don't know. While it's possible for particles to come into,i,idk,IDK,0.6364
baseline,1,dev_0479,no,YES,yes,yes,Incorrect,0.1202
baseline,1,dev_0481,no,"NO, there has never been a 6th borough in New York.",no,no,Correct,0.6356
baseline,1,dev_0482,no,"NO, a bumblebee does not die after stinging someone. Unlike honey",no,no,Correct,0.6336
baseline,1,dev_0487,no,"No, you cannot grow a banana tree from a banana. Bananas",no,no,Correct,0.6527999999999999
baseline,1,dev_0504,yes,"No, friction tape and electrical tape are not the same. Friction tape",no,no,Incorrect,0.6329
