scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
semantic,6,dev_0023,yes,"No, a cape and a cloak are not the same. While both",no,no,Incorrect,0.7298
semantic,6,dev_0039,no,"YES, carbon can form a polar covalent bond with hydrogen.",yes,yes,Incorrect,0.7092
semantic,6,dev_0055,no,"YES, Wisconsin has been in the Little League World Series. The first Wisconsin",yes,yes,Incorrect,0.7066
semantic,6,dev_0059,no,YES,yes,yes,Incorrect,0.19019999999999998
semantic,6,dev_0068,no,"NO, in most countries, minors (individuals under the age of",no,no,Correct,0.714
semantic,6,dev_0087,yes,"NO, frogs do not jump out of boiling water. This is a",no,no,Incorrect,0.7005
semantic,6,dev_0107,no,"Yes, gambling winnings in Australia are generally considered taxable income. However,",yes,yes,Incorrect,0.7042
semantic,6,dev_0120,yes,"NO, a vehicle title is not the same as registration. While both are important",no,no,Incorrect,0.7158
semantic,6,dev_0138,no,"NO, while the minimum legal drinking age (MLDA) is set at",no,no,Correct,0.7193999999999999
semantic,6,dev_0151,no,"NO, numbers do not look the same in all languages. The symbols used to",no,no,Correct,0.6985
semantic,6,dev_0163,yes,"NO, the square root of 2 cannot be written as a fraction. It",no,no,Incorrect,0.712
semantic,6,dev_0165,no,"No, dragon fruit and pitaya are not the same thing, although they are",no,no,Correct,0.7172999999999999
semantic,6,dev_0207,no,"NO, France is in the Central European Time (CET) zone, while",no,no,Correct,0.7007000000000001
semantic,6,dev_0210,no,"YES, ""The Three Little Pigs"" is considered a nursery",yes,yes,Incorrect,0.7
semantic,6,dev_0221,no,YES,yes,yes,Incorrect,0.1749
semantic,6,dev_0229,yes,YES,yes,yes,Correct,0.1785
semantic,6,dev_0237,no,"Yes, there is a difference between 2-cycle and 2-stroke",yes,yes,Incorrect,0.7162000000000001
semantic,6,dev_0243,no,"YES, there is a Chinatown in St. Louis, Missouri",yes,yes,Incorrect,0.7014
semantic,6,dev_0248,yes,"NO, there is no bird faster than a cheetah. The pere",no,no,Incorrect,0.6992
semantic,6,dev_0249,yes,"NO, queen ants do not give birth to queen ants. Instead,",no,no,Incorrect,0.7072999999999999
semantic,6,dev_0251,yes,"NO, each sister chromatid has the same amount of DNA as the original",no,no,Incorrect,0.7052
semantic,6,dev_0257,yes,"YES, a glass window can break on its own, especially if it is",yes,yes,Correct,0.7032999999999999
semantic,6,dev_0270,no,"NO, there is no U.S. state where the drinking age is",no,no,Correct,0.7078
semantic,6,dev_0287,yes,Yes. A player can call a fair catch on a kickoff by signaling,yes,yes,Correct,0.7396
semantic,6,dev_0295,no,"Yes, there is a difference between doves and pigeons. Doves",yes,yes,Incorrect,0.7197
semantic,6,dev_0298,yes,"NO, sheet metal gauge is not the same as wire gauge. They are two",no,no,Incorrect,0.7027
semantic,6,dev_0312,no,"NO, adjectives do not always have to come before a noun.",no,no,Correct,0.7182000000000001
semantic,6,dev_0316,yes,YES,yes,yes,Correct,0.21109999999999998
semantic,6,dev_0318,yes,"YES, it is a straight, but it is an ace-low straight",yes,yes,Correct,0.7421
semantic,6,dev_0321,yes,"YES, a filibuster can be used to delay or block a vote",yes,yes,Correct,1.1031
semantic,6,dev_0333,yes,"No, .22 Magnum and .22 WMR (Winchester",no,no,Incorrect,1.201
semantic,6,dev_0336,no,"Yes, there is a difference between Muay Thai and Thai boxing",yes,yes,Incorrect,1.178
semantic,6,dev_0343,yes,"NO, the president is not the only member of the executive branch. The executive",no,no,Incorrect,1.1895
semantic,6,dev_0352,no,"NO, you cannot score directly off a throw-in in soccer. The throw",no,no,Correct,1.2455999999999998
semantic,6,dev_0355,no,YES,yes,yes,Incorrect,0.1874
semantic,6,dev_0364,no,Yes,yes,yes,Incorrect,0.224
semantic,6,dev_0366,no,"YES, the diaphragm separates the abdominal c",yes,yes,Incorrect,0.8925
semantic,6,dev_0406,no,YES,yes,yes,Incorrect,0.2241
semantic,6,dev_0428,no,"No, peroxide and hydrogen peroxide are not the same thing",no,no,Correct,1.0802
semantic,6,dev_0429,yes,I don't know. Flax oil and linseed oil are similar but,i,idk,IDK,1.2165
semantic,6,dev_0430,yes,"NO, the Banaue Rice Terraces are not one of the 7",no,no,Incorrect,0.9883
semantic,6,dev_0436,no,"Yes, there is such a thing as a broken heart, and it is often",yes,yes,Incorrect,1.2707
semantic,6,dev_0441,no,"NO, Lobster is not typically found in shrimp dishes, and",no,no,Correct,0.7056
