scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
underspecified,16,dev_0023,yes,"No, a cape and a cloak are not the same. A c",no,no,Incorrect,0.8939
underspecified,16,dev_0039,no,YES,yes,yes,Incorrect,0.3594
underspecified,16,dev_0055,no,"I don't know. To find the answer, you can look up the",i,idk,IDK,0.8939
underspecified,16,dev_0059,no,YES,yes,yes,Incorrect,0.3589
underspecified,16,dev_0068,no,"NO, in most jurisdictions, minors (individuals under the",no,no,Correct,0.8831
underspecified,16,dev_0087,yes,"Yes, frogs can jump out of boiling water. However, it'",yes,yes,Correct,0.8552000000000001
underspecified,16,dev_0107,no,"Yes, in Australia, gambling winnings are generally considered taxable income. However",yes,yes,Incorrect,0.8368
underspecified,16,dev_0120,yes,"NO, a vehicle title and registration are not the same. A vehicle title is",no,no,Incorrect,0.848
underspecified,16,dev_0138,no,"NO, the drinking age is not different in every state. In the United States",no,no,Correct,0.8302
underspecified,16,dev_0151,no,"NO, numbers do not look the same in all languages. Different cultures and languages",no,no,Correct,0.863
underspecified,16,dev_0163,yes,"NO, the square root of 2 cannot be written as a fraction. It",no,no,Incorrect,0.9007000000000001
underspecified,16,dev_0165,no,"Yes, dragon fruit and pitaya are the same thing. The term ""dr",yes,yes,Incorrect,0.8869
underspecified,16,dev_0207,no,"NO, France is in the Central European Time (CET) zone, while",no,no,Correct,0.8761
underspecified,16,dev_0210,no,"YES, The Three Little Pigs is a nursery rhyme.",yes,yes,Incorrect,0.8842000000000001
underspecified,16,dev_0221,no,YES,yes,yes,Incorrect,0.3634
underspecified,16,dev_0229,yes,Yes. All UK National Insurance numbers have a letter at the end. This letter,yes,yes,Correct,0.8924
underspecified,16,dev_0237,no,"Yes, there is a difference between 2-cycle and 2-stroke",yes,yes,Incorrect,0.8897999999999999
underspecified,16,dev_0243,no,"Yes, there is a Chinatown in St. Louis, Missouri.",yes,yes,Incorrect,0.9047999999999999
underspecified,16,dev_0248,yes,"NO, there is no bird faster than a cheetah. The cheet",no,no,Incorrect,0.9016000000000001
underspecified,16,dev_0249,yes,"NO, queen ants do not give birth to queen ants. Instead,",no,no,Incorrect,0.887
underspecified,16,dev_0251,yes,"NO, one sister chromatid has the same amount of DNA as a chrom",no,no,Incorrect,0.8805
underspecified,16,dev_0257,yes,"YES, a glass window can break on its own due to various reasons such",yes,yes,Correct,0.8859
underspecified,16,dev_0270,no,"NO, there is no U.S. state where the drinking age is",no,no,Correct,0.8691
underspecified,16,dev_0287,yes,YES,yes,yes,Correct,0.3573
