scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
baseline,1,dev_0023,yes,"I don't know

While both capes and cloaks are types of outer",i,idk,IDK,1.0255999999999998
baseline,1,dev_0039,no,"NO

Carbon and hydrogen can form covalent bonds, but these bonds are",no,no,Correct,0.7748999999999999
baseline,1,dev_0055,no,"I don't know

Wisconsin has not won a national championship in Little League",i,idk,IDK,0.7727999999999999
baseline,1,dev_0059,no,NO. The Five Heartbeats is a fictional R&B quartet that was,no,no,Correct,0.7727
baseline,1,dev_0068,no,"NO

In the United States, the Supreme Court ruled in the case of R",no,no,Correct,0.7724
baseline,1,dev_0087,yes,"NO

Frogs, like many animals, would likely notice the increasing temperature",no,no,Incorrect,0.7721
baseline,1,dev_0107,no,"NO

Gambling winnings are generally not subject to tax in Australia. However,",no,no,Correct,0.7734
baseline,1,dev_0120,yes,"NO

A vehicle title and registration are related but distinct documents. The vehicle title",no,no,Incorrect,0.7723
baseline,1,dev_0138,no,"NO. While the legal drinking age can vary slightly depending on the country, in",no,no,Correct,0.7723
baseline,1,dev_0151,no,"NO

Numbers are generally represented by the same symbols (0, 1,",no,no,Correct,0.7727999999999999
baseline,1,dev_0163,yes,"NO

The square root of 2 is an irrational number, which means it",no,no,Incorrect,0.7755
baseline,1,dev_0165,no,"YES, dragon fruit and pitaya are the same thing. Pitaya is the",yes,yes,Incorrect,0.7735
baseline,1,dev_0207,no,"NO

France and the United Kingdom are generally not in the same time zone.",no,no,Correct,0.7729
baseline,1,dev_0210,no,"NO
The story of ""The Three Little Pigs"" is a folk tale",no,no,Correct,0.7736000000000001
baseline,1,dev_0221,no,"NO

A markup language is primarily designed to describe the structure of data, not",no,no,Correct,0.773
baseline,1,dev_0229,yes,"NO

Not all UK National Insurance numbers have a letter at the end. The",no,no,Incorrect,0.7754
baseline,1,dev_0237,no,"NO

The terms ""2-cycle"" and ""2-stroke"" are essentially",no,no,Correct,0.7756000000000001
baseline,1,dev_0243,no,"YES

St. Louis, Missouri, has a historic Chinatown neighborhood located in",yes,yes,Incorrect,0.7754
baseline,1,dev_0248,yes,"NO. While some birds can fly very fast, such as the peregr",no,no,Incorrect,0.7732
baseline,1,dev_0249,yes,NO. Queen ants do not give birth to queen ants in the same way that,no,no,Incorrect,0.773
baseline,1,dev_0251,yes,"NO

Each sister chromatid is identical to the other and contains the full amount",no,no,Incorrect,0.7763
baseline,1,dev_0257,yes,NO. Glass windows do not typically break on their own due to the stable crystall,no,no,Incorrect,0.7725
baseline,1,dev_0270,no,"NO

The legal drinking age in all 50 U.S. states is",no,no,Correct,0.7754
baseline,1,dev_0287,yes,"NO

In American football, a fair catch is typically called on a punt,",no,no,Incorrect,0.7726000000000001
baseline,1,dev_0295,no,"NO

Doves and pigeons are often considered part of the same family,",no,no,Correct,0.7736000000000001
baseline,1,dev_0298,yes,"NO

Sheet metal gauge and wire gauge refer to different properties of materials. Sheet",no,no,Incorrect,0.7724
