scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
meta,16,dev_0023,yes,NO,no,no,Incorrect,1.6165999999999998
meta,16,dev_0039,no,NO,no,no,Correct,1.6180999999999999
meta,16,dev_0055,no,NO,no,no,Correct,1.6165999999999998
meta,16,dev_0059,no,NO,no,no,Correct,1.6177000000000001
meta,16,dev_0068,no,"NO

The death penalty is not typically applied to minors. In the United States",no,no,Correct,1.6188
meta,16,dev_0087,yes,"NO

A frog does not jump out of boiling water. The myth suggests that",no,no,Incorrect,1.6175
meta,16,dev_0107,no,I don't know. The tax treatment of gambling winnings in Australia can be subject,i,idk,IDK,1.6178
meta,16,dev_0120,yes,"NO

A vehicle title and registration are related but distinct documents. The title proves",no,no,Incorrect,1.6178
meta,16,dev_0138,no,"NO

The drinking age is generally 21 in all states in the United",no,no,Correct,1.6185
meta,16,dev_0151,no,"NO

Numbers can look different in various languages and cultures. For example, in",no,no,Correct,1.6158
meta,16,dev_0163,yes,NO,no,no,Incorrect,1.6182
meta,16,dev_0165,no,"YES

Dragon fruit and pitaya are the same thing.",yes,yes,Incorrect,1.617
meta,16,dev_0207,no,NO,no,no,Correct,1.6144
meta,16,dev_0210,no,NO,no,no,Correct,1.6180999999999999
meta,16,dev_0221,no,NO,no,no,Correct,1.616
meta,16,dev_0229,yes,"NO

All UK National Insurance numbers do not have a letter at the end.",no,no,Incorrect,1.619
meta,16,dev_0237,no,"NO

There is no difference between ""2-cycle"" and ""2-stroke",no,no,Correct,1.6191
meta,16,dev_0243,no,NO,no,no,Correct,1.6173
meta,16,dev_0248,yes,NO,no,no,Incorrect,1.6145
meta,16,dev_0249,yes,NO,no,no,Incorrect,1.6165999999999998
meta,16,dev_0251,yes,"NO

One sister chromatid does not have half the DNA of a chromosome;",no,no,Incorrect,1.6153
meta,16,dev_0257,yes,NO,no,no,Incorrect,1.6151
meta,16,dev_0270,no,"NO

The legal drinking age in the United States is 21 in all",no,no,Correct,1.6202999999999999
meta,16,dev_0287,yes,NO,no,no,Incorrect,1.6172
meta,16,dev_0295,no,"NO

Doves and pigeons are generally considered the same group of birds.",no,no,Correct,1.6174000000000002
meta,16,dev_0298,yes,"NO

Sheet metal gauge and wire gauge refer to different measurements and are used for",no,no,Incorrect,1.618
meta,16,dev_0312,no,"NO

Adjectives can come before or after a noun depending on the language and",no,no,Correct,1.6155
meta,16,dev_0316,yes,"NO

The internal intercostal muscles contract during expiration, not inspiration. During",no,no,Incorrect,1.6144
meta,16,dev_0318,yes,NO,no,no,Incorrect,1.6185
meta,16,dev_0321,yes,NO,no,no,Incorrect,1.6165
meta,16,dev_0333,yes,NO,no,no,Incorrect,1.6187
meta,16,dev_0336,no,"NO

Muay Thai and Thai boxing are the same thing. They refer to",no,no,Correct,1.6179000000000001
meta,16,dev_0343,yes,NO,no,no,Incorrect,1.6155
meta,16,dev_0352,no,NO,no,no,Correct,1.6173
meta,16,dev_0355,no,NO,no,no,Correct,1.6165999999999998
meta,16,dev_0364,no,NO,no,no,Correct,2.9541999999999997
meta,16,dev_0366,no,"NO

The abdominal cavity and pelvic cavity are not separated by any distinct anatomical",no,no,Correct,1.6149
meta,16,dev_0406,no,"NO

A California roll typically does not contain fish. It usually includes ingredients like",no,no,Correct,1.6165999999999998
meta,16,dev_0428,no,YES,yes,yes,Incorrect,2.9578
meta,16,dev_0429,yes,NO,no,no,Incorrect,1.616
meta,16,dev_0430,yes,"NO

The Banaue Rice Terraces are not one of the 7",no,no,Incorrect,1.619
meta,16,dev_0436,no,"NO

Broken hearts are often used metaphorically to describe intense emotional pain, but",no,no,Correct,2.9604
meta,16,dev_0441,no,"NO

There is no lobster in shrimp with lobster sauce; it is named for",no,no,Correct,1.6162999999999998
meta,16,dev_0442,yes,"NO

Lead dust is typically absorbed through ingestion or inhalation, not through the",no,no,Incorrect,1.6165
meta,16,dev_0479,no,"YES

There is such a thing as a miniature pig.",yes,yes,Incorrect,2.9575
meta,16,dev_0481,no,NO,no,no,Correct,1.6164
meta,16,dev_0482,no,"NO

A bumblebee does not typically die after stinging someone, unlike",no,no,Correct,1.6155
meta,16,dev_0487,no,NO,no,no,Correct,2.9612
meta,16,dev_0504,yes,NO,no,no,Incorrect,1.6144
meta,16,dev_0509,no,NO,no,no,Correct,1.6137000000000001
meta,16,dev_0532,no,"NO

Is it possible to connect your brain to a computer? NO

While",no,no,Correct,2.9600999999999997
meta,16,dev_0534,no,"NO

The National Guard stays within the United States and its territories, except when",no,no,Correct,1.6157000000000001
meta,16,dev_0536,yes,NO,no,no,Incorrect,1.6171
meta,16,dev_0537,no,NO,no,no,Correct,2.9608000000000003
meta,16,dev_0546,yes,NO,no,no,Incorrect,1.6179000000000001
meta,16,dev_0560,no,"NO

The University of Tampa does not have a football team. They currently offer",no,no,Correct,1.6182999999999998
meta,16,dev_0568,no,NO,no,no,Correct,2.9546
meta,16,dev_0569,no,NO,no,no,Correct,1.6171
meta,16,dev_0588,yes,NO,no,no,Incorrect,1.6154000000000002
meta,16,dev_0594,no,NO,no,no,Correct,1.6182999999999998
meta,16,dev_0596,no,NO,no,no,Correct,1.6169
meta,16,dev_0598,yes,NO,no,no,Incorrect,1.6155
meta,16,dev_0612,yes,NO,no,no,Incorrect,1.6167
meta,16,dev_0617,yes,NO,no,no,Incorrect,1.617
meta,16,dev_0662,yes,NO,no,no,Incorrect,1.6171
meta,16,dev_0678,no,NO,no,no,Correct,1.6179000000000001
meta,16,dev_0696,no,"NO

New Hampshire does not have a universal seat belt law. Passengers in",no,no,Correct,1.6168
meta,16,dev_0711,yes,NO,no,no,Incorrect,1.6173
meta,16,dev_0718,yes,NO,no,no,Incorrect,1.6157000000000001
meta,16,dev_0724,no,"I don't know. The question is about a book series, which is not",i,idk,IDK,1.6167
meta,16,dev_0731,no,NO,no,no,Correct,1.6156
meta,16,dev_0737,no,NO,no,no,Correct,1.617
meta,16,dev_0754,yes,NO,no,no,Incorrect,1.616
meta,16,dev_0759,no,NO,no,no,Correct,1.6169
meta,16,dev_0764,yes,"NO

Sampling error and standard deviation are related but distinct concepts. Sampling error refers",no,no,Incorrect,1.6167
meta,16,dev_0782,yes,NO,no,no,Incorrect,1.6173
meta,16,dev_0817,no,NO,no,no,Correct,1.6189
meta,16,dev_0829,no,NO,no,no,Correct,1.6185999999999998
meta,16,dev_0832,no,NO,no,no,Correct,1.6155
meta,16,dev_0837,yes,"NO

Universal healthcare and socialized medicine are related but not exactly the same.",no,no,Incorrect,1.6178
meta,16,dev_0853,no,NO,no,no,Correct,1.6180999999999999
meta,16,dev_0854,no,NO,no,no,Correct,1.6180999999999999
meta,16,dev_0862,no,"NO

In chess, there is no concept of ""check in"" or any",no,no,Correct,1.6171
meta,16,dev_0871,yes,NO,no,no,Incorrect,1.618
meta,16,dev_0916,yes,NO,no,no,Incorrect,1.6180999999999999
meta,16,dev_0922,yes,"NO

A passport card cannot be used to fly to Canada. It is only",no,no,Incorrect,1.6148
meta,16,dev_0933,no,"NO

The cremaster muscle is not in the spermatic cord. The crem",no,no,Correct,1.6169
meta,16,dev_0934,yes,NO,no,no,Incorrect,1.6158
meta,16,dev_0940,yes,"NO

Passport cards are not valid for domestic air travel within the United States",no,no,Incorrect,1.617
meta,16,dev_0944,no,NO,no,no,Correct,1.6169
meta,16,dev_0952,yes,NO,no,no,Incorrect,1.6171
meta,16,dev_0958,yes,"NO

The eyes are not part of the nervous system. They are sensory organs",no,no,Incorrect,1.6164
meta,16,dev_0981,no,NO,no,no,Correct,1.6176
meta,16,dev_0991,yes,NO,no,no,Incorrect,1.6158
meta,16,dev_0994,yes,NO,no,no,Incorrect,1.6167
meta,16,dev_0996,no,NO,no,no,Correct,1.6184
meta,16,dev_1006,no,NO,no,no,Correct,1.6187
meta,16,dev_1011,no,"NO

The World Cup trophy does not have an official name, but it is",no,no,Correct,1.6165
meta,16,dev_1022,yes,"NO

Enterprise value is not exactly the same as firm value. Enterprise value (",no,no,Incorrect,1.6152
meta,16,dev_1049,no,NO,no,no,Correct,1.6148
meta,16,dev_1062,yes,NO,no,no,Incorrect,1.6177000000000001
meta,16,dev_1075,yes,NO,no,no,Incorrect,1.6174000000000002
meta,16,dev_1102,no,"NO

There is no difference between sweating and perspiring; they are different words",no,no,Correct,1.6179000000000001
meta,16,dev_1110,yes,NO,no,no,Incorrect,1.6196
meta,16,dev_1112,no,NO,no,no,Correct,1.6160999999999999
meta,16,dev_1113,yes,"NO

A ball python and a royal python are different species. A ball python",no,no,Incorrect,1.6147
meta,16,dev_1121,no,NO,no,no,Correct,1.616
meta,16,dev_1133,no,"NO

The Crew 2 is primarily focused on open-world racing and doesn't",no,no,Correct,1.6173
meta,16,dev_1138,yes,NO,no,no,Incorrect,1.6179000000000001
meta,16,dev_1146,yes,NO,no,no,Incorrect,1.6191
meta,16,dev_1155,yes,NO,no,no,Incorrect,1.6176
meta,16,dev_1175,no,"YES

Michigan was admitted to the Union as a state on January 26",yes,yes,Incorrect,1.6167
meta,16,dev_1178,no,NO,no,no,Correct,1.6142999999999998
meta,16,dev_1183,yes,NO,no,no,Incorrect,1.6169
meta,16,dev_1196,no,"NO

In India, a person can typically hold only one citizenship at a time",no,no,Correct,1.6157000000000001
meta,16,dev_1204,yes,NO,no,no,Incorrect,1.6147
meta,16,dev_1205,no,NO,no,no,Correct,1.6162999999999998
meta,16,dev_1209,yes,"NO

It is not possible to turn lead into gold through natural means. While",no,no,Incorrect,1.616
meta,16,dev_1227,no,NO,no,no,Correct,1.6162999999999998
meta,16,dev_1229,no,NO,no,no,Correct,1.6145
meta,16,dev_1230,yes,NO,no,no,Incorrect,1.6188
meta,16,dev_1235,no,NO,no,no,Correct,1.6162
meta,16,dev_1239,yes,NO,no,no,Incorrect,1.6165
meta,16,dev_1241,no,NO,no,no,Correct,1.6159000000000001
meta,16,dev_1250,yes,"NO

The micropyle serves for the emergence of the radicle in seeds",no,no,Incorrect,1.618
meta,16,dev_1256,yes,I don't know. The 1906 San Francisco earthquake is primarily,i,idk,IDK,1.6174000000000002
meta,16,dev_1261,no,"NO

There is no state income tax in Louisiana.",no,no,Correct,1.6160999999999999
meta,16,dev_1267,no,NO,no,no,Correct,1.6173
meta,16,dev_1271,no,"NO

The drinking age is uniformly 21 in the United States.",no,no,Correct,1.6175
meta,16,dev_1283,yes,NO,no,no,Incorrect,1.6176
meta,16,dev_1285,no,"NO

A woman has never won the Indianapolis 500. The race",no,no,Correct,1.6174000000000002
meta,16,dev_1286,no,"NO

Lightning bugs and fireflies are commonly used interchangeably, as they",no,no,Correct,1.6168
meta,16,dev_1294,yes,NO,no,no,Incorrect,1.6156
meta,16,dev_1296,yes,NO,no,no,Incorrect,1.6168
meta,16,dev_1303,no,"NO

Do you have to touch the ball to be offside in soccer?",no,no,Correct,1.6188
meta,16,dev_1307,yes,NO,no,no,Incorrect,1.6179000000000001
meta,16,dev_1311,yes,"NO

The crankshaft pulley and harmonic balancer are not the same thing",no,no,Incorrect,1.6175
