scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
misleading,6,dev_0023,yes,"No, a cape and a cloak are not the same. A c",no,no,Incorrect,0.7066
misleading,6,dev_0039,no,YES,yes,yes,Incorrect,0.18680000000000002
misleading,6,dev_0055,no,"I don't know. To find the answer, you can check the official",i,idk,IDK,0.6927000000000001
misleading,6,dev_0059,no,"YES, The Five Heartbeats is a fictional soul music group that",yes,yes,Incorrect,0.7335
misleading,6,dev_0068,no,"NO, in most countries, minors (individuals under the age of",no,no,Correct,0.6992
misleading,6,dev_0087,yes,I don't know. The behavior of frogs in response to rapidly changing,i,idk,IDK,0.6935
misleading,6,dev_0107,no,"Yes, in Australia, gambling winnings are considered taxable income. However,",yes,yes,Incorrect,0.7069
misleading,6,dev_0120,yes,"No, a vehicle title and registration are not the same. A vehicle title is",no,no,Incorrect,0.7095
misleading,6,dev_0138,no,"Yes, the drinking age is not the same in every state. In the United",yes,yes,Incorrect,2.0305
misleading,6,dev_0151,no,"NO, numbers do not look the same in all languages. Different languages have their",no,no,Correct,0.716
misleading,6,dev_0163,yes,"NO, the square root of 2 cannot be written as a fraction. It",no,no,Incorrect,0.7032
misleading,6,dev_0165,no,"Yes, dragon fruit and pitaya are the same thing. The term ""dr",yes,yes,Incorrect,0.6987000000000001
misleading,6,dev_0207,no,"NO, France is in the Central European Time (CET) zone, while",no,no,Correct,0.7024
misleading,6,dev_0210,no,"YES, The Three Little Pigs is a classic nursery rhyme",yes,yes,Incorrect,0.7004
misleading,6,dev_0221,no,YES,yes,yes,Incorrect,0.1773
misleading,6,dev_0229,yes,"YES. All UK National Insurance numbers have a letter at the end, which",yes,yes,Correct,0.7042999999999999
misleading,6,dev_0237,no,"Yes, there is a difference between 2-cycle and 2-stroke",yes,yes,Incorrect,0.6942999999999999
misleading,6,dev_0243,no,"Yes, there is a Chinatown in St. Louis, Missouri.",yes,yes,Incorrect,0.6934
misleading,6,dev_0248,yes,YES,yes,yes,Correct,0.18569999999999998
misleading,6,dev_0249,yes,"NO, queen ants do not give birth to queen ants. Instead,",no,no,Incorrect,0.7002999999999999
misleading,6,dev_0251,yes,"NO, one sister chromatid has the same amount of DNA as a chrom",no,no,Incorrect,0.6917000000000001
misleading,6,dev_0257,yes,"YES, a glass window can break on its own due to various reasons such",yes,yes,Correct,0.7158
misleading,6,dev_0270,no,"No, there is no U.S. state where the drinking age is",no,no,Correct,0.7173999999999999
misleading,6,dev_0287,yes,"YES, a fair catch can be called on a kickoff in American football",yes,yes,Correct,0.7006
misleading,6,dev_0295,no,"Yes, there is a difference between doves and pigeons. Doves",yes,yes,Incorrect,0.6875
misleading,6,dev_0298,yes,"No, sheet metal gauge and wire gauge are not the same. They are different",no,no,Incorrect,0.7004
misleading,6,dev_0312,no,"In English, adjectives typically come before the noun they modify. However",in,other,NC,0.6891
misleading,6,dev_0316,yes,YES,yes,yes,Correct,0.1874
misleading,6,dev_0318,yes,YES,yes,yes,Correct,0.18780000000000002
misleading,6,dev_0321,yes,"YES, a filibuster can potentially be used to delay or block a",yes,yes,Correct,0.709
misleading,6,dev_0333,yes,"No, .22 Magnum and .22 WMR (Winchester",no,no,Incorrect,0.7034
misleading,6,dev_0336,no,"Yes, there is a difference between Muay Thai and Thai boxing",yes,yes,Incorrect,0.7168
misleading,6,dev_0343,yes,"NO, the president is a member of the executive branch, but not the only",no,no,Incorrect,0.7085
misleading,6,dev_0352,no,"NO, you cannot score directly off a throw-in in soccer. The throw",no,no,Correct,2.0574
misleading,6,dev_0355,no,Yes. Father's Day is celebrated on the third Sunday of June every year,yes,yes,Incorrect,0.6927000000000001
misleading,6,dev_0364,no,YES,yes,yes,Incorrect,0.18869999999999998
misleading,6,dev_0366,no,Yes. The diaphragm separates the abdominal cavity,yes,yes,Incorrect,0.7031000000000001
misleading,6,dev_0406,no,YES,yes,yes,Incorrect,0.1869
misleading,6,dev_0428,no,"Yes, peroxide and hydrogen peroxide are the same thing.",yes,yes,Incorrect,0.6994
misleading,6,dev_0429,yes,"Yes, flax oil and linseed oil are essentially the same. Linseed",yes,yes,Correct,0.7108
misleading,6,dev_0430,yes,I don't know. The Banaue Rice Terraces are not officially,i,idk,IDK,0.7051000000000001
misleading,6,dev_0436,no,"Yes, there is such a thing as a broken heart, and it's",yes,yes,Incorrect,0.7042
misleading,6,dev_0441,no,"NO, there is no lobster in shrimp with lobster sauce.",no,no,Correct,0.7032999999999999
misleading,6,dev_0442,yes,I don't know. While it is possible for particles to come into contact,i,idk,IDK,0.7307
misleading,6,dev_0479,no,YES,yes,yes,Incorrect,0.1865
misleading,6,dev_0481,no,"NO, there is no official 6th borough in New York. The",no,no,Correct,0.6981
misleading,6,dev_0482,no,"NO, a bumblebee does not die after stinging someone. Unlike honey",no,no,Correct,0.7022999999999999
misleading,6,dev_0487,no,"YES, you can grow banana trees from a banana through a process",yes,yes,Incorrect,0.6982999999999999
misleading,6,dev_0504,yes,"NO, friction tape and electrical tape are not the same. Friction tape",no,no,Incorrect,0.7079
misleading,6,dev_0509,no,YES,yes,yes,Incorrect,0.18669999999999998
misleading,6,dev_0532,no,"YES, it is possible to connect a brain to a computer, although the",yes,yes,Incorrect,0.6947000000000001
misleading,6,dev_0534,no,YES,yes,yes,Incorrect,0.18919999999999998
misleading,6,dev_0536,yes,"NO, Thanos did not appear in the first Guardians of the Galaxy.",no,no,Incorrect,0.716
misleading,6,dev_0537,no,"YES, in the UK, it is possible to receive a caution without being",yes,yes,Incorrect,0.6979
misleading,6,dev_0546,yes,"NO, the College of William & Mary is not an Ivy League school.",no,no,Incorrect,2.0428
misleading,6,dev_0560,no,"YES, the University of Tampa has a football team. They compete in",yes,yes,Incorrect,0.7064
misleading,6,dev_0568,no,"No, the movie Heat was not based on a book. It was an original",no,no,Correct,0.7054
