scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
misleading,6,dev_0023,yes,I don't know.,i,idk,IDK,0.596
misleading,6,dev_0039,no,Yes. Carbon can form a polar covalent bond with hydrogen.,yes,yes,Incorrect,0.9551000000000001
misleading,6,dev_0055,no,I don't know.,i,idk,IDK,0.5422
misleading,6,dev_0059,no,I don't know.,i,idk,IDK,0.5755
misleading,6,dev_0068,no,"No, minors cannot receive the death penalty.",no,no,Correct,0.7148
misleading,6,dev_0087,yes,No.,no,no,Incorrect,0.4195
misleading,6,dev_0107,no,"Yes, Australian residents are required to pay tax on their gambling winnings, as it",yes,yes,Incorrect,2.3363
misleading,6,dev_0120,yes,"No, a vehicle title and registration are not the same. A vehicle title is",no,no,Incorrect,1.0044
misleading,6,dev_0138,no,"Yes, the drinking age is different in every state.",yes,yes,Incorrect,0.8112999999999999
misleading,6,dev_0151,no,I don't know. The representation of numbers can vary across different languages and,i,idk,IDK,0.9571000000000001
misleading,6,dev_0163,yes,I don't know.,i,idk,IDK,0.579
misleading,6,dev_0165,no,"Yes, dragon fruit and pitaya are the same thing. They are the common",yes,yes,Incorrect,0.9887999999999999
misleading,6,dev_0207,no,I don't know.,i,idk,IDK,0.9889
misleading,6,dev_0210,no,I don't know.,i,idk,IDK,0.5812
misleading,6,dev_0221,no,"Yes, a markup language is designed to describe data, such as HTML for describing",yes,yes,Incorrect,0.99
misleading,6,dev_0229,yes,I don't know,i,idk,IDK,0.5462
misleading,6,dev_0237,no,"Yes, there is a difference between 2-cycle and 2-stroke",yes,yes,Incorrect,0.9863999999999999
misleading,6,dev_0243,no,I don't know.,i,idk,IDK,0.5834
misleading,6,dev_0248,yes,No.,no,no,Incorrect,0.404
misleading,6,dev_0249,yes,"Yes, queen ants give birth to queen ants.",yes,yes,Correct,0.7308
misleading,6,dev_0251,yes,"Yes, one sister chromatid has half the DNA of a chromosome.",yes,yes,Correct,0.9927999999999999
misleading,6,dev_0257,yes,I don't know.,i,idk,IDK,0.5448
misleading,6,dev_0270,no,"Yes, there is a U.S. state where the drinking age is",yes,yes,Incorrect,0.9877
misleading,6,dev_0287,yes,Yes.,yes,yes,Correct,0.4019
misleading,6,dev_0295,no,"Yes, there is a difference between doves and pigeons. Doves are a",yes,yes,Incorrect,0.9531000000000001
misleading,6,dev_0298,yes,"No, sheet metal gauge and wire gauge are not the same. They are used",no,no,Incorrect,0.9996
misleading,6,dev_0312,no,"Yes, in most cases, adjectives come before the noun they modify.",yes,yes,Incorrect,0.9047000000000001
misleading,6,dev_0316,yes,I don't know,i,idk,IDK,0.5318999999999999
misleading,6,dev_0318,yes,"Yes, an Ace-2-3-4-5 is a straight.",yes,yes,Correct,0.9917999999999999
misleading,6,dev_0321,yes,"No, a filibuster cannot stop a Supreme Court nominee. A filib",no,no,Incorrect,1.0555
misleading,6,dev_0333,yes,"No, .22 Magnum and .22 WMR are not the",no,no,Incorrect,1.0056
misleading,6,dev_0336,no,"Yes, there is a difference between Muay Thai and Thai boxing. Muay",yes,yes,Incorrect,0.9932000000000001
misleading,6,dev_0343,yes,"No, the president is not the only member of the executive branch. The executive",no,no,Incorrect,0.9896
misleading,6,dev_0352,no,"Yes, you can score off a throw-in in soccer.",yes,yes,Incorrect,0.9012
misleading,6,dev_0355,no,"Yes, Father's Day is celebrated on the same day every year, which",yes,yes,Incorrect,0.9947999999999999
misleading,6,dev_0364,no,"Yes, a wicket-keeper is a mandatory position in cricket, responsible for handling",yes,yes,Incorrect,0.9887
misleading,6,dev_0366,no,"Yes, the diaphragm is a structure that separates the abdominal cavity from the pel",yes,yes,Incorrect,0.9534
misleading,6,dev_0406,no,"Yes, a California roll typically contains fish, such as crab or imitation crab,",yes,yes,Incorrect,0.9555
misleading,6,dev_0428,no,"Yes, peroxide and hydrogen peroxide are the same thing.",yes,yes,Incorrect,0.896
misleading,6,dev_0429,yes,I don't know.,i,idk,IDK,0.577
misleading,6,dev_0430,yes,I don't know.,i,idk,IDK,0.5942000000000001
misleading,6,dev_0436,no,"Yes, there is such a thing as a broken heart. It is a term",yes,yes,Incorrect,1.013
misleading,6,dev_0441,no,I don't know.,i,idk,IDK,0.5762999999999999
misleading,6,dev_0442,yes,"Yes, lead dust can be absorbed through the eyes.",yes,yes,Correct,0.8132
misleading,6,dev_0479,no,"Yes, there is such a thing as a miniature pig.",yes,yes,Incorrect,0.8518
misleading,6,dev_0481,no,"Yes, there was a 6th borough in New York, known as the",yes,yes,Incorrect,0.9535
misleading,6,dev_0482,no,I don't know. The severity of the consequences of a bumblebee sting can,i,idk,IDK,0.9915
misleading,6,dev_0487,no,"No, you cannot grow banana trees from a banana. Bananas are a type",no,no,Correct,2.2721
misleading,6,dev_0504,yes,"No, friction tape and electrical tape are not the same. Friction tape is",no,no,Incorrect,0.9931
misleading,6,dev_0509,no,I don't know.,i,idk,IDK,0.5847
misleading,6,dev_0532,no,"I don't know. The technology to connect the brain to a computer,",i,idk,IDK,0.9895
misleading,6,dev_0534,no,I don't know. The National Guard's deployment and location can vary,i,idk,IDK,0.9962000000000001
misleading,6,dev_0536,yes,"No, Thanos did not appear in the first Guardians of the Galaxy film",no,no,Incorrect,1.0029
misleading,6,dev_0537,no,"Yes, you can get a caution without being arrested.",yes,yes,Incorrect,0.8051
misleading,6,dev_0546,yes,I don't know.,i,idk,IDK,0.5485
misleading,6,dev_0560,no,I don't know.,i,idk,IDK,1.8962
misleading,6,dev_0568,no,I don't know.,i,idk,IDK,0.5443
misleading,6,dev_0569,no,I don't know.,i,idk,IDK,0.547
misleading,6,dev_0588,yes,No. Boost Mobile and Virgin Mobile are two separate mobile network operators that operate under,no,no,Incorrect,0.9879
misleading,6,dev_0594,no,"Yes, bee stingers can fall out on their own after they have stung an",yes,yes,Incorrect,0.9913
misleading,6,dev_0596,no,"Yes, C# and Visual C# are the same programming language.",yes,yes,Incorrect,0.9435
misleading,6,dev_0598,yes,"No, the Vice President is not the head of the Senate. The President of",no,no,Incorrect,0.9962000000000001
misleading,6,dev_0612,yes,Yes.,yes,yes,Correct,0.3971
misleading,6,dev_0617,yes,Yes.,yes,yes,Correct,0.3967
misleading,6,dev_0662,yes,"No, LensCrafters and Pearle Vision are not the same company. They",no,no,Incorrect,0.9907
misleading,6,dev_0678,no,I would answer 'I don't know' to this question. Washing a,i,idk,IDK,0.9883
misleading,6,dev_0696,no,"Yes, there is a seat belt law in New Hampshire.",yes,yes,Incorrect,0.8592000000000001
misleading,6,dev_0711,yes,"No, Musician's Friend and Guitar Center are two separate companies that operate",no,no,Incorrect,0.9947
misleading,6,dev_0718,yes,"Yes, Chicago is the third largest city in the United States.",yes,yes,Correct,0.9213
misleading,6,dev_0724,no,I don't know.,i,idk,IDK,0.5828
misleading,6,dev_0731,no,I don't know.,i,idk,IDK,0.5766
misleading,6,dev_0737,no,"Yes, a Cornish game hen is a young chicken, typically weighing between 1",yes,yes,Incorrect,0.994
misleading,6,dev_0754,yes,"No, World at War is not part of Black Ops. World at War is",no,no,Incorrect,0.9887999999999999
misleading,6,dev_0759,no,I don't know.,i,idk,IDK,0.5383
misleading,6,dev_0764,yes,"No, sampling error is not the same as standard deviation. Sampling error refers to",no,no,Incorrect,0.9536
misleading,6,dev_0782,yes,I don't know.,i,idk,IDK,0.5821000000000001
misleading,6,dev_0817,no,I don't know.,i,idk,IDK,0.5454
misleading,6,dev_0829,no,"Yes. The Battle of New Orleans was fought on January 8, 1",yes,yes,Incorrect,0.9984
