scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
semantic,6,dev_0023,yes,NO.,no,no,Incorrect,0.5219
semantic,6,dev_0039,no,"YES. Carbon and hydrogen can form a polar covalent bond, where the",yes,yes,Incorrect,0.5277000000000001
semantic,6,dev_0055,no,Yes. Wisconsin has had teams participate in the Little League World Series. In fact,yes,yes,Incorrect,0.5288999999999999
semantic,6,dev_0059,no,YES.  The Five Heartbeats is a real doo-wop group,yes,yes,Incorrect,0.529
semantic,6,dev_0068,no,NO,no,no,Correct,0.5197999999999999
semantic,6,dev_0087,yes,"NO. According to the myth, a frog placed in boiling water will jump out",no,no,Incorrect,0.5193
semantic,6,dev_0107,no,"YES. In Australia, gambling winnings are considered taxable income and must be reported on",yes,yes,Incorrect,0.5225
semantic,6,dev_0120,yes,,,other,NC,0.5018
semantic,6,dev_0138,no,NO,no,no,Correct,0.529
semantic,6,dev_0151,no,"NO. Numbers can look different in various languages, and even the same language can",no,no,Correct,0.5237
semantic,6,dev_0163,yes,,,other,NC,0.5122000000000001
semantic,6,dev_0165,no,NO,no,no,Correct,0.527
semantic,6,dev_0207,no,NO,no,no,Correct,0.5215
semantic,6,dev_0210,no,"NO. The Three Little Pigs is a fable, a type of short",no,no,Correct,0.5388999999999999
semantic,6,dev_0221,no,YES,yes,yes,Incorrect,0.5203
semantic,6,dev_0229,yes,YES,yes,yes,Correct,0.5257999999999999
semantic,6,dev_0237,no,"YES. While the terms are often used interchangeably, ""2-cycle"" is",yes,yes,Incorrect,0.5237
semantic,6,dev_0243,no,YES,yes,yes,Incorrect,0.5318999999999999
semantic,6,dev_0248,yes,"NO. Cheetahs are the fastest land animal on Earth, with the",no,no,Incorrect,0.5265
semantic,6,dev_0249,yes,"NO. In most ant species, queens are the only fertile females, and they",no,no,Incorrect,0.5217999999999999
semantic,6,dev_0251,yes,"NO. Both sister chromatids have the full amount of DNA, they are identical",no,no,Incorrect,0.5195
semantic,6,dev_0257,yes,YES,yes,yes,Correct,0.5253
semantic,6,dev_0270,no,NO.,no,no,Correct,0.5287999999999999
semantic,6,dev_0287,yes,"YES. In American football, a player can call a fair catch on a kickoff",yes,yes,Correct,0.5234
semantic,6,dev_0295,no,"YES. While both terms are often used interchangeably, doves tend to be",yes,yes,Incorrect,0.5217
semantic,6,dev_0298,yes,,,other,NC,0.5036
semantic,6,dev_0312,no,,,other,NC,0.5069
semantic,6,dev_0316,yes,"NO. The internal intercostal muscles contract during expiration, which helps to decrease",no,no,Incorrect,0.5213
semantic,6,dev_0318,yes,YES. An Ace-2-3-4-5 is indeed a straight,yes,yes,Correct,0.5384
semantic,6,dev_0321,yes,Yes. A filibuster can be used to delay or block a Supreme Court nominee,yes,yes,Correct,0.5233
semantic,6,dev_0333,yes,,,other,NC,0.5201
semantic,6,dev_0336,no,,,other,NC,0.5041
semantic,6,dev_0343,yes,"NO. The President is not the only member of the executive branch, as the",no,no,Incorrect,0.5222
semantic,6,dev_0352,no,"YES. In soccer, it is possible to score a goal directly from a throw",yes,yes,Incorrect,0.5267999999999999
semantic,6,dev_0355,no,YES,yes,yes,Incorrect,0.5194
semantic,6,dev_0364,no,"YES. In cricket, a team must have a designated wicket-keeper in",yes,yes,Incorrect,0.5287000000000001
semantic,6,dev_0366,no,"YES. The diaphragm separates the abdominal cavity from the thoracic cavity,",yes,yes,Incorrect,0.5305
semantic,6,dev_0406,no,YES,yes,yes,Incorrect,0.5176000000000001
semantic,6,dev_0428,no,"NO.  While both are peroxide compounds, they have distinct structures and properties",no,no,Correct,0.5317999999999999
semantic,6,dev_0429,yes,"NO. While they both come from the flax plant, flax oil is",no,no,Incorrect,0.5207
semantic,6,dev_0430,yes,NO. The Banaue Rice Terraces are actually a UNESCO World Heritage Site,no,no,Incorrect,0.5247
semantic,6,dev_0436,no,,,other,NC,0.5175
semantic,6,dev_0441,no,,,other,NC,0.5023
semantic,6,dev_0442,yes,"YES. Lead dust can be absorbed through the eyes, particularly if it enters the",yes,yes,Correct,0.5262
semantic,6,dev_0479,no,YES. There are several breeds of miniature pigs that are recognized by pig registries,yes,yes,Incorrect,0.541
semantic,6,dev_0481,no,I don't know. (Note: There have been various proposals and discussions about,i,idk,IDK,0.5231
semantic,6,dev_0482,no,,,other,NC,0.5164
semantic,6,dev_0487,no,"NO. Banana trees are sterile, meaning they cannot produce viable seeds, and therefore",no,no,Correct,0.5237999999999999
semantic,6,dev_0504,yes,NO.,no,no,Incorrect,0.5253
semantic,6,dev_0509,no,YES. The AR-15 is a popular semi-automatic rifle used by the US,yes,yes,Incorrect,0.52
semantic,6,dev_0532,no,YES. Brain-computer interfaces (BCIs) allow people to control devices with,yes,yes,Incorrect,0.5237
semantic,6,dev_0534,no,YES. The National Guard is a reserve component of the US military that is typically,yes,yes,Incorrect,0.5244
semantic,6,dev_0536,yes,NO,no,no,Incorrect,0.5262
semantic,6,dev_0537,no,"YES. In the UK, you can receive a caution without being arrested, often",yes,yes,Incorrect,0.5305
semantic,6,dev_0546,yes,NO.,no,no,Incorrect,0.5205
semantic,6,dev_0560,no,NO. The University of Tampa does not have a football team. The university compet,no,no,Correct,0.5246000000000001
semantic,6,dev_0568,no,,,other,NC,0.5
semantic,6,dev_0569,no,,,other,NC,0.5026
