scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
semantic,6,dev_0023,yes,"No, a cape and a cloak are not the same. While they are similar",no,no,Incorrect,0.9996
semantic,6,dev_0039,no,"Yes, carbon can form a polar covalent bond with hydrogen.",yes,yes,Incorrect,1.0205
semantic,6,dev_0055,no,I don't know.,i,idk,IDK,0.6043999999999999
semantic,6,dev_0059,no,"Yes, there is a group called The Five Heartbeats.",yes,yes,Incorrect,0.8617
semantic,6,dev_0068,no,I don't know.,i,idk,IDK,0.6035
semantic,6,dev_0087,yes,"Yes, a frog will jump out of boiling water to avoid getting cooked. This",yes,yes,Correct,1.0154
semantic,6,dev_0107,no,I don't know. The tax treatment of gambling winnings in Australia depends on,i,idk,IDK,1.0142
semantic,6,dev_0120,yes,"No, a vehicle title and registration are not the same thing. A title is",no,no,Incorrect,1.0059
semantic,6,dev_0138,no,"Yes, the drinking age is different in every state. While the national minimum drinking",yes,yes,Incorrect,0.9956
semantic,6,dev_0151,no,"No, numbers do not look the same in all languages. The symbols used to",no,no,Correct,0.9897
semantic,6,dev_0163,yes,"No, the square root of 2 cannot be written as a fraction.",no,no,Incorrect,0.9987999999999999
semantic,6,dev_0165,no,I would answer 'I don't know' to this question. While both,i,idk,IDK,0.9531000000000001
semantic,6,dev_0207,no,"No, France is not in the same time zone as the UK. France is",no,no,Correct,0.9949
semantic,6,dev_0210,no,"No, ""The Three Little Pigs"" is not a nursery rhyme. It",no,no,Correct,0.9975
semantic,6,dev_0221,no,"Yes, a markup language is designed to describe data. It provides a way to",yes,yes,Incorrect,0.9952000000000001
semantic,6,dev_0229,yes,I don't know.,i,idk,IDK,0.5854
semantic,6,dev_0237,no,"Yes, there is a difference between 2-cycle and 2-stroke",yes,yes,Incorrect,0.9966
semantic,6,dev_0243,no,I don't know.,i,idk,IDK,0.5831000000000001
semantic,6,dev_0248,yes,"No, there is no bird that is faster than a cheetah.",no,no,Incorrect,0.9642999999999999
semantic,6,dev_0249,yes,"No, queen ants do not give birth to queen ants. A queen ant is",no,no,Incorrect,0.9582
semantic,6,dev_0251,yes,I don't know.,i,idk,IDK,0.9943
semantic,6,dev_0257,yes,I don't know.,i,idk,IDK,0.5786
semantic,6,dev_0270,no,"No, there is no U.S. state where the drinking age is",no,no,Correct,0.9965
semantic,6,dev_0287,yes,"Yes, you can call a fair catch on a kickoff. A fair catch",yes,yes,Correct,0.996
semantic,6,dev_0295,no,"Yes, there is a difference between doves and pigeons. Doves are a",yes,yes,Incorrect,0.9525
semantic,6,dev_0298,yes,"No, sheet metal gauge and wire gauge are not the same. Wire gauge is",no,no,Incorrect,0.9579
semantic,6,dev_0312,no,"Yes, in most cases, adjectives come before the noun they modify. This is",yes,yes,Incorrect,0.9679
semantic,6,dev_0316,yes,"Yes, the internal intercostal muscles contract during inspiration.",yes,yes,Correct,0.8542000000000001
semantic,6,dev_0318,yes,"Yes, an Ace-2-3-4-5 is a straight in",yes,yes,Correct,0.9556
semantic,6,dev_0321,yes,"Yes, a filibuster can stop a Supreme Court nominee. To confirm a",yes,yes,Correct,1.0095
semantic,6,dev_0333,yes,I don't know.,i,idk,IDK,0.5386
semantic,6,dev_0336,no,"Yes, there is a difference between Muay Thai and Thai boxing. Muay",yes,yes,Incorrect,1.0031
semantic,6,dev_0343,yes,"No, the president is not the only member of the executive branch. The executive",no,no,Incorrect,0.9979
semantic,6,dev_0352,no,"No, you cannot score off a throw-in in soccer. The purpose of",no,no,Correct,1.0097
semantic,6,dev_0355,no,"Yes, Father's Day is celebrated on the same day every year, which",yes,yes,Incorrect,0.9965
semantic,6,dev_0364,no,"Yes, it is mandatory to have a wicket-keeper in cricket. The wicket",yes,yes,Incorrect,0.9956
semantic,6,dev_0366,no,"Yes, the peritoneum separates the abdominal cavity from the pelvic cavity.",yes,yes,Incorrect,0.9926
semantic,6,dev_0406,no,"Yes, a California roll typically contains fish, specifically crab or imitation crab, as",yes,yes,Incorrect,0.9923
semantic,6,dev_0428,no,"Yes, peroxide and hydrogen peroxide are the same thing. Hydrogen per",yes,yes,Incorrect,1.0005
semantic,6,dev_0429,yes,I don't know.,i,idk,IDK,0.5887
semantic,6,dev_0430,yes,I don't know.,i,idk,IDK,0.5852999999999999
semantic,6,dev_0436,no,"Yes, there is such a thing as a broken heart. It is a term",yes,yes,Incorrect,1.0535999999999999
semantic,6,dev_0441,no,I don't know.,i,idk,IDK,0.5785
semantic,6,dev_0442,yes,"Yes, lead dust can be absorbed through the eyes, which can result in lead",yes,yes,Correct,0.9973
semantic,6,dev_0479,no,"Yes, there is such a thing as a miniature pig, which is a small",yes,yes,Incorrect,0.9984
semantic,6,dev_0481,no,"No, there was not a 6th borough in New York. The five",no,no,Correct,0.9937
semantic,6,dev_0482,no,I don't know. The lifespan of a bumblebee can vary depending on factors,i,idk,IDK,0.957
semantic,6,dev_0487,no,"No, you cannot grow banana trees from a banana. Bananas are a type",no,no,Correct,0.9977999999999999
semantic,6,dev_0504,yes,"No, friction tape and electrical tape are not the same. Friction tape is",no,no,Incorrect,1.0056
semantic,6,dev_0509,no,"No, the AR-15 is not used in the military. It is",no,no,Correct,0.9937999999999999
semantic,6,dev_0532,no,I don't know. While some progress has been made in developing brain-,i,idk,IDK,1.004
semantic,6,dev_0534,no,I don't know. The National Guard's deployment and location can vary,i,idk,IDK,1.0019
semantic,6,dev_0536,yes,"No, Thanos did not appear in the first Guardians of the Galaxy film",no,no,Incorrect,0.9922000000000001
semantic,6,dev_0537,no,I don't know. The answer to this question may depend on the specific,i,idk,IDK,1.0495999999999999
semantic,6,dev_0546,yes,"No, the College of William & Mary is not an Ivy League school. It",no,no,Incorrect,0.9963
semantic,6,dev_0560,no,I don't know.,i,idk,IDK,0.5862
semantic,6,dev_0568,no,I don't know.,i,idk,IDK,0.5872999999999999
semantic,6,dev_0569,no,"No, the NBA salary cap is not a hard cap. It is a soft",no,no,Correct,0.9991
semantic,6,dev_0588,yes,"No, Boost Mobile and Virgin Mobile are not the same. They are two separate",no,no,Incorrect,1.0077
semantic,6,dev_0594,no,I don't know. The answer may depend on the specific species of bee,i,idk,IDK,1.0035
