scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
baseline,1,dev_0023,yes,I don't know,i,idk,IDK,0.5297000000000001
baseline,1,dev_0039,no,"Yes, carbon can form a polar covalent bond with hydrogen. This is",yes,yes,Incorrect,0.7197
baseline,1,dev_0055,no,I don't know,i,idk,IDK,0.2815
baseline,1,dev_0059,no,I don't know,i,idk,IDK,0.2814
baseline,1,dev_0068,no,"As an AI language model, I don't have personal opinions or beliefs.",as,other,NC,0.7201000000000001
baseline,1,dev_0087,yes,I don't know,i,idk,IDK,0.2813
baseline,1,dev_0107,no,"Yes, you do pay tax on gambling winnings in Australia. The Australian Taxation",yes,yes,Incorrect,0.7196
baseline,1,dev_0120,yes,I don't know. A vehicle title and registration are related but not the,i,idk,IDK,2.0618000000000003
baseline,1,dev_0138,no,"Yes, the drinking age is different in every state. In the United States,",yes,yes,Incorrect,0.7192000000000001
baseline,1,dev_0151,no,"As an AI language model, I can provide some insight into this question.",as,other,NC,0.7193999999999999
baseline,1,dev_0163,yes,"Yes, the square root of 2 can be written as a fraction. The",yes,yes,Correct,0.7207
baseline,1,dev_0165,no,"I don't know. As an AI, I don't have personal",i,idk,IDK,0.7196
baseline,1,dev_0207,no,"Yes, France is in the same time zone as the UK. Both countries use",yes,yes,Incorrect,0.7206
baseline,1,dev_0210,no,I don't know,i,idk,IDK,0.2817
baseline,1,dev_0221,no,"YES

A markup language is a system of tags or codes that",yes,yes,Incorrect,0.7197
baseline,1,dev_0229,yes,I don't know,i,idk,IDK,0.2823
baseline,1,dev_0237,no,"Yes, there is a difference between 2-cycle and 2-stroke",yes,yes,Incorrect,0.7209
baseline,1,dev_0243,no,I don't know,i,idk,IDK,0.2825
baseline,1,dev_0248,yes,I don't know,i,idk,IDK,0.282
baseline,1,dev_0249,yes,"Yes, queen ants give birth to queen ants. The queen ants are the only",yes,yes,Correct,0.72
baseline,1,dev_0251,yes,"Yes, one sister chromatid has half the DNA of a chromosome. During",yes,yes,Correct,0.7202999999999999
baseline,1,dev_0257,yes,"Yes, a glass window can break on its own. There are several reasons why",yes,yes,Correct,0.7192999999999999
baseline,1,dev_0270,no,"Yes, there is a U.S. state where the drinking age",yes,yes,Incorrect,0.7215
baseline,1,dev_0287,yes,"Yes, you can call a fair catch on a kickoff. In American football",yes,yes,Correct,0.7197
baseline,1,dev_0295,no,"Yes, there is a difference between doves and pigeons.

Doves",yes,yes,Incorrect,0.7201000000000001
baseline,1,dev_0298,yes,"I don't know.

Sheet metal gauge and wire gauge are related",i,idk,IDK,0.7198
baseline,1,dev_0312,no,Adjectives do not have to come before a noun. They can be placed,adjectives,other,NC,0.7192999999999999
baseline,1,dev_0316,yes,"Yes, the internal intercostal muscles contract during inspiration. These muscles play a",yes,yes,Correct,0.7198
baseline,1,dev_0318,yes,"Yes, an Ace-2-3-4-5 is a straight,",yes,yes,Correct,0.7209
baseline,1,dev_0321,yes,"Yes, a filibuster can stop a Supreme Court nominee. A filib",yes,yes,Correct,0.7207
baseline,1,dev_0333,yes,"To answer this question, I will first gather information about the .22 Mag",to,other,NC,0.7206
baseline,1,dev_0336,no,"Yes, there is a difference between Muay Thai and Thai boxing. Muay",yes,yes,Incorrect,0.7201000000000001
baseline,1,dev_0343,yes,I don't know.,i,idk,IDK,0.32530000000000003
baseline,1,dev_0352,no,"Yes, you can score off a throw-in in soccer. A throw-",yes,yes,Incorrect,0.7265
baseline,1,dev_0355,no,"Yes, Father's Day is celebrated on the same day every year, which",yes,yes,Incorrect,0.7309
baseline,1,dev_0364,no,"Yes, you have to have a wicket keeper in cricket. The wicket-keeper",yes,yes,Incorrect,0.7307
baseline,1,dev_0366,no,"Yes, there are several structures that separate the abdominal cavity and the pelvic cavity",yes,yes,Incorrect,0.7277
baseline,1,dev_0406,no,"Yes, a California roll does have fish in it. It typically contains a mixture",yes,yes,Incorrect,0.7202000000000001
baseline,1,dev_0428,no,"Yes, peroxide and hydrogen peroxide are the same thing. Hydrogen per",yes,yes,Incorrect,0.7202999999999999
baseline,1,dev_0429,yes,"I don't know. Flax oil and linseed oil are related,",i,idk,IDK,0.7202000000000001
baseline,1,dev_0430,yes,I don't know. The Banaue Rice Terraces are a UNESCO,i,idk,IDK,0.7217
baseline,1,dev_0436,no,"As an AI language model, I cannot provide a personal opinion. However, I",as,other,NC,0.7196
baseline,1,dev_0441,no,I don't know,i,idk,IDK,0.2815
baseline,1,dev_0442,yes,I don't know.,i,idk,IDK,0.3255
baseline,1,dev_0479,no,"Yes, there is such a thing as a miniature pig. Miniature pigs,",yes,yes,Incorrect,0.7203999999999999
baseline,1,dev_0481,no,"Before answering, let me clarify that there are currently five boroughs in New York",before,other,NC,0.7209
baseline,1,dev_0482,no,I don't know,i,idk,IDK,0.2817
baseline,1,dev_0487,no,"No, you cannot grow banana trees from a banana. Banana trees are",no,no,Correct,0.7196
baseline,1,dev_0504,yes,"No, friction tape and electrical tape are not the same.

Friction",no,no,Incorrect,0.7206
baseline,1,dev_0509,no,"Yes, the AR-15 is used by the military. The AR-",yes,yes,Incorrect,0.7202999999999999
baseline,1,dev_0532,no,"As an AI language model, I don't have a brain, but I",as,other,NC,0.7199
baseline,1,dev_0534,no,"Yes, the National Guard is a part of the United States Armed Forces and is",yes,yes,Incorrect,0.7198
baseline,1,dev_0536,yes,"No, Thanos did not appear in the first Guardians of the Galaxy movie",no,no,Incorrect,0.7209
baseline,1,dev_0537,no,"Yes, you can get a caution without being arrested. A caution is a type",yes,yes,Incorrect,0.7208
baseline,1,dev_0546,yes,"No, the College of William & Mary is not an Ivy League school. It",no,no,Incorrect,0.7213999999999999
baseline,1,dev_0560,no,"Yes, the University of Tampa has a football team. The team, known as",yes,yes,Incorrect,0.7209
baseline,1,dev_0568,no,I don't know,i,idk,IDK,0.2819
baseline,1,dev_0569,no,"I don't know.

The NBA salary cap is a type of",i,idk,IDK,2.0636
baseline,1,dev_0588,yes,I don't know. Let me research and get back to you.,i,idk,IDK,0.7199
baseline,1,dev_0594,no,I don't know,i,idk,IDK,0.2819
baseline,1,dev_0596,no,"Yes, C# and Visual C# are the same. C# is a",yes,yes,Incorrect,0.7205
baseline,1,dev_0598,yes,I don't know.,i,idk,IDK,0.3257
baseline,1,dev_0612,yes,"No, popcorn is not made from corn on the cob. Popcorn is made",no,no,Incorrect,0.7205
baseline,1,dev_0617,yes,"Yes, France and England have competed in the World Cup. They have both participated",yes,yes,Correct,0.7203999999999999
baseline,1,dev_0662,yes,"No, LensCrafters and Pearle Vision are not the same company. They",no,no,Incorrect,0.7209
baseline,1,dev_0678,no,"I would answer: No, it is not safe to wash your kid's",i,no,Correct,0.7212999999999999
baseline,1,dev_0696,no,"Yes, there is a seat belt law in New Hampshire. According to the New",yes,yes,Incorrect,0.7203999999999999
baseline,1,dev_0711,yes,I don't know,i,idk,IDK,0.2824
baseline,1,dev_0718,yes,"To answer this question, I will first need to gather information about the current ranking",to,other,NC,0.7209
baseline,1,dev_0724,no,I don't know.,i,idk,IDK,0.32539999999999997
baseline,1,dev_0731,no,I don't know,i,idk,IDK,0.2821
baseline,1,dev_0737,no,"Yes, a Cornish game hen is a young chicken. It is a term used",yes,yes,Incorrect,0.7209
baseline,1,dev_0754,yes,"No, World at War is not part of Black Ops. World at War is",no,no,Incorrect,0.7205
baseline,1,dev_0759,no,"Yes, North and South Korea speak the same language, which is called Korean (",yes,yes,Incorrect,0.7206
baseline,1,dev_0764,yes,I don't know,i,idk,IDK,0.282
baseline,1,dev_0782,yes,I don't know.,i,idk,IDK,0.32580000000000003
baseline,1,dev_0817,no,"Yes, there are post-credit scenes in Deadpool 2. After the",yes,yes,Incorrect,0.7215
baseline,1,dev_0829,no,"Yes, the Battle of New Orleans was fought after the War of 18",yes,yes,Incorrect,0.7222000000000001
baseline,1,dev_0832,no,"Yes, you can get to South America by car. There are several land routes",yes,yes,Incorrect,0.7203999999999999
baseline,1,dev_0837,yes,"I don't know.

Universal healthcare and socialized medicine are related",i,idk,IDK,0.7211000000000001
baseline,1,dev_0853,no,"Yes, a Girl Scout can be an Eagle Scout. The Eagle Scout rank is",yes,yes,Incorrect,0.7203999999999999
baseline,1,dev_0854,no,"Yes, elephants are at the top of the food chain in their ecosystem. As",yes,yes,Incorrect,0.7212000000000001
baseline,1,dev_0862,no,"In chess, players do not have to say ""check"" when their opponent'",in,other,NC,0.7205
baseline,1,dev_0871,yes,I don't know,i,idk,IDK,0.2824
baseline,1,dev_0916,yes,I don't know,i,idk,IDK,0.2826
baseline,1,dev_0922,yes,"Yes, a passport card can be used to fly to Canada, but with some",yes,yes,Correct,0.7209
baseline,1,dev_0933,no,"Yes, the cremaster muscle is in the spermatic cord.",yes,yes,Incorrect,0.6771
baseline,1,dev_0934,yes,"Yes, Pokémon: Let's Go is a main series game.",yes,yes,Correct,0.7854
baseline,1,dev_0940,yes,"No, you cannot use a passport card to fly domestically. A passport card",no,no,Incorrect,0.7219
baseline,1,dev_0944,no,"Yes, Greece and Rome were around at the same time. Greece was a civilization",yes,yes,Incorrect,0.7208
baseline,1,dev_0952,yes,"No, Merrill Lynch and Bank of America are not the same. Merrill Lynch is",no,no,Incorrect,0.7208
baseline,1,dev_0958,yes,YES,yes,yes,Correct,0.1062
baseline,1,dev_0981,no,"Yes, pyruvic acid and pyruvate are the same thing.",yes,yes,Incorrect,0.7222999999999999
baseline,1,dev_0991,yes,"No, you do not need a license to watch TV in England. However,",no,no,Incorrect,0.7212000000000001
baseline,1,dev_0994,yes,"Yes, you can use a white background as a green screen. The key is",yes,yes,Correct,0.7215
baseline,1,dev_0996,no,I don't know,i,idk,IDK,0.2832
baseline,1,dev_1006,no,I don't know,i,idk,IDK,0.2823
baseline,1,dev_1011,no,I don't know,i,idk,IDK,0.2825
baseline,1,dev_1022,yes,I don't know,i,idk,IDK,0.2832
baseline,1,dev_1049,no,"Yes, a red panda is related to a panda. They are both",yes,yes,Incorrect,0.7218
baseline,1,dev_1062,yes,"Yes, a wheel and axle can be called a lever. A lever is a",yes,yes,Correct,0.7212000000000001
baseline,1,dev_1075,yes,"No, all NHL ice rinks are not the same size. The size of",no,no,Incorrect,0.7215
baseline,1,dev_1102,no,"Yes, there is a difference between sweating and perspiring. Sweating is",yes,yes,Incorrect,0.7215
baseline,1,dev_1110,yes,"I don't know.

To answer this question, I would need",i,idk,IDK,0.7215
baseline,1,dev_1112,no,"Yes, nuclear power and nuclear energy are the same thing. Nuclear power is the",yes,yes,Incorrect,0.7211000000000001
baseline,1,dev_1113,yes,I don't know,i,idk,IDK,0.2828
