scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
meta,16,dev_0023,yes,I don't know. A cape and a cloak are similar in,i,idk,IDK,0.8232999999999999
meta,16,dev_0039,no,"Yes, carbon can form a polar covalent bond with hydrogen. Car",yes,yes,Incorrect,0.8195
meta,16,dev_0055,no,I don't know. Wisconsin has not consistently fielded Little League teams that,i,idk,IDK,0.8198
meta,16,dev_0059,no,Yes. The Five Heartbeats is a fictional R&B group that,yes,yes,Incorrect,0.8749
meta,16,dev_0068,no,I don't know. The answer can vary depending on the jurisdiction and,i,idk,IDK,0.826
meta,16,dev_0087,yes,I don't know. Frogs are unable to regulate their body temperature,i,idk,IDK,0.8876000000000001
meta,16,dev_0107,no,"I don't know. In Australia, gambling winnings are generally considered tax",i,idk,IDK,0.8342
meta,16,dev_0120,yes,I don't know. A vehicle title and registration are related but different documents,i,idk,IDK,0.8146
meta,16,dev_0138,no,"Yes, the drinking age is different in every state in the United States. The",yes,yes,Incorrect,0.8139
meta,16,dev_0151,no,"I don't know. The way numbers are written can vary between languages,",i,idk,IDK,0.8164
meta,16,dev_0163,yes,"Yes, the square root of 2 can be written as a fraction. It",yes,yes,Correct,0.8136
meta,16,dev_0165,no,"Yes, dragon fruit and pitaya are the same thing. They are both the",yes,yes,Incorrect,0.813
meta,16,dev_0207,no,"Yes, France and the UK are in the same time zone. They are both",yes,yes,Incorrect,0.8252
meta,16,dev_0210,no,"Yes, The Three Little Pigs is a nursery rhyme. It",yes,yes,Incorrect,0.8262999999999999
meta,16,dev_0221,no,"Yes. Markup languages are designed to describe data, specifically in a structured and",yes,yes,Incorrect,0.8097000000000001
meta,16,dev_0229,yes,"Yes, all UK National Insurance numbers have a letter at the end. The letter",yes,yes,Correct,0.8156
meta,16,dev_0237,no,"Yes, there is a difference between 2-cycle and 2-stroke",yes,yes,Incorrect,1.037
meta,16,dev_0243,no,"Yes, there is a Chinatown in St. Louis, Missouri.",yes,yes,Incorrect,0.8122999999999999
meta,16,dev_0248,yes,I don't know. Birds are not known to be faster than che,i,idk,IDK,0.8104
meta,16,dev_0249,yes,I don't know. Queen ants do not give birth to other queen,i,idk,IDK,0.8122999999999999
meta,16,dev_0251,yes,I don't know. The sister chromatids are identical copies of a,i,idk,IDK,0.8269
meta,16,dev_0257,yes,"Yes, a glass window can break on its own, especially if it is weak",yes,yes,Correct,0.8099
meta,16,dev_0270,no,"No, the drinking age in all U.S. states is 21",no,no,Correct,0.8117000000000001
meta,16,dev_0287,yes,"I don't know. In American football, a player on the receiving team",i,idk,IDK,0.8142999999999999
meta,16,dev_0295,no,"Yes, there is a difference between doves and pigeons. Doves",yes,yes,Incorrect,0.8092
meta,16,dev_0298,yes,I don't know. Sheet metal gauge and wire gauge are different systems,i,idk,IDK,0.8118
meta,16,dev_0312,no,"Yes, in English, adjectives typically come before the noun they modify",yes,yes,Incorrect,0.8108
