scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
underspecified,16,dev_0023,yes,I don't know.,i,idk,IDK,1.204
underspecified,16,dev_0039,no,"Yes, carbon can form a polar covalent bond with hydrogen.",yes,yes,Incorrect,1.6743
underspecified,16,dev_0055,no,I don't know.,i,idk,IDK,1.2083
underspecified,16,dev_0059,no,I don't know.,i,idk,IDK,1.2117
underspecified,16,dev_0068,no,I don't know.,i,idk,IDK,1.2052
underspecified,16,dev_0087,yes,I don't know.,i,idk,IDK,1.1541
underspecified,16,dev_0107,no,I don't know.,i,idk,IDK,1.2074
underspecified,16,dev_0120,yes,I don't know.,i,idk,IDK,1.1602999999999999
underspecified,16,dev_0138,no,"Yes, the drinking age is different in every state.",yes,yes,Incorrect,1.466
underspecified,16,dev_0151,no,I don't know.,i,idk,IDK,1.095
underspecified,16,dev_0163,yes,I don't know.,i,idk,IDK,1.1005999999999998
underspecified,16,dev_0165,no,"Yes, dragon fruit and pitaya are the same thing.",yes,yes,Incorrect,1.4682
underspecified,16,dev_0207,no,I don't know.,i,idk,IDK,1.6739000000000002
underspecified,16,dev_0210,no,I don't know.,i,idk,IDK,1.2089
underspecified,16,dev_0221,no,I don't know.,i,idk,IDK,1.6742000000000001
underspecified,16,dev_0229,yes,I don't know.,i,idk,IDK,1.1554
underspecified,16,dev_0237,no,"Yes, there is a difference between 2-cycle and 2-stroke",yes,yes,Incorrect,1.6721
underspecified,16,dev_0243,no,I don't know.,i,idk,IDK,2.54
underspecified,16,dev_0248,yes,I don't know. While some bird species have been observed reaching high speeds,i,idk,IDK,1.625
underspecified,16,dev_0249,yes,"Yes, queen ants give birth to queen ants through a process called budding, where",yes,yes,Correct,1.6211
underspecified,16,dev_0251,yes,I don't know.,i,idk,IDK,1.6202999999999999
underspecified,16,dev_0257,yes,I don't know.,i,idk,IDK,1.2062
underspecified,16,dev_0270,no,"No, there is no U.S. state where the drinking age is",no,no,Correct,1.6682000000000001
underspecified,16,dev_0287,yes,"Yes, you can call a fair catch on a kickoff.",yes,yes,Correct,1.5152999999999999
underspecified,16,dev_0295,no,"Yes, there is a difference between doves and pigeons. Pigeons are a",yes,yes,Incorrect,1.6728
underspecified,16,dev_0298,yes,I don't know.,i,idk,IDK,1.1522999999999999
underspecified,16,dev_0312,no,"Yes, in most cases adjectives come before the noun they modify in a sentence.",yes,yes,Incorrect,1.6124
underspecified,16,dev_0316,yes,I don't know.,i,idk,IDK,1.2087
underspecified,16,dev_0318,yes,"Yes, an Ace-2-3-4-5 is a straight.",yes,yes,Correct,1.6783
underspecified,16,dev_0321,yes,"No, a filibuster cannot stop a Supreme Court nominee. However, it",no,no,Incorrect,1.736
underspecified,16,dev_0333,yes,I don't know.,i,idk,IDK,1.2065
underspecified,16,dev_0336,no,"Yes, there is a difference between Muay Thai and Thai boxing. Muay",yes,yes,Incorrect,1.6759000000000002
underspecified,16,dev_0343,yes,"No, the president is not the only member of the executive branch. The executive",no,no,Incorrect,1.7247000000000001
underspecified,16,dev_0352,no,"No, you cannot score off a throw-in in soccer. A throw-",no,no,Correct,1.614
underspecified,16,dev_0355,no,I don't know.,i,idk,IDK,1.2114
underspecified,16,dev_0364,no,"Yes, you need to have a wicket keeper in cricket. The wicket-keeper",yes,yes,Incorrect,1.6753
underspecified,16,dev_0366,no,I don't know.,i,idk,IDK,1.1565999999999999
underspecified,16,dev_0406,no,"Yes, a California roll typically contains fish, usually crab or imitation crab, as",yes,yes,Incorrect,1.5480999999999998
underspecified,16,dev_0428,no,"Yes, peroxide and hydrogen peroxide are the same thing.",yes,yes,Incorrect,1.5765
underspecified,16,dev_0429,yes,I don't know. Flax oil and linseed oil are similar but,i,idk,IDK,1.6198
underspecified,16,dev_0430,yes,I don't know.,i,idk,IDK,1.2555999999999998
underspecified,16,dev_0436,no,"Yes, there is such a thing as a broken heart. It is a term",yes,yes,Incorrect,1.7804
underspecified,16,dev_0441,no,I don't know.,i,idk,IDK,1.2572
underspecified,16,dev_0442,yes,I don't know.,i,idk,IDK,1.2125
underspecified,16,dev_0479,no,"Yes, there is such a thing as a miniature pig. Miniature pigs,",yes,yes,Incorrect,1.687
underspecified,16,dev_0481,no,I don't know.,i,idk,IDK,1.0966
underspecified,16,dev_0482,no,I don't know. The lifespan of a bumblebee after stinging someone depends,i,idk,IDK,1.6861
underspecified,16,dev_0487,no,"No, you cannot grow banana trees from a banana. Bananas are a type",no,no,Correct,1.6247
underspecified,16,dev_0504,yes,I don't know.,i,idk,IDK,1.2065
underspecified,16,dev_0509,no,I don't know. The AR-15 is a popular semi-,i,idk,IDK,1.6835
underspecified,16,dev_0532,no,I don't know.,i,idk,IDK,1.2057
underspecified,16,dev_0534,no,I don't know.,i,idk,IDK,1.2157
underspecified,16,dev_0536,yes,I don't know.,i,idk,IDK,1.2138
underspecified,16,dev_0537,no,I don't know.,i,idk,IDK,1.2054
underspecified,16,dev_0546,yes,I don't know.,i,idk,IDK,1.1557
underspecified,16,dev_0560,no,I don't know.,i,idk,IDK,1.2054
underspecified,16,dev_0568,no,"No, the movie Heat was not based on a book. It was written and",no,no,Correct,1.6797
underspecified,16,dev_0569,no,I don't know.,i,idk,IDK,1.2077
underspecified,16,dev_0588,yes,I don't know.,i,idk,IDK,1.2535999999999998
underspecified,16,dev_0594,no,I don't know.,i,idk,IDK,2.6125
underspecified,16,dev_0596,no,I don't know.,i,idk,IDK,1.6188
underspecified,16,dev_0598,yes,I don't know.,i,idk,IDK,1.2583
underspecified,16,dev_0612,yes,I don't know.,i,idk,IDK,1.2057
underspecified,16,dev_0617,yes,I don't know.,i,idk,IDK,1.0965
underspecified,16,dev_0662,yes,I don't know.,i,idk,IDK,1.1532
underspecified,16,dev_0678,no,I would answer 'I don't know' to this question. It is,i,idk,IDK,3.0128000000000004
underspecified,16,dev_0696,no,"Yes, there is a seat belt law in New Hampshire.",yes,yes,Incorrect,1.5224000000000002
underspecified,16,dev_0711,yes,I don't know.,i,idk,IDK,1.2103
