scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
semantic,6,dev_0023,yes,NO. While capes and cloaks are similar in that they are both loose,no,no,Incorrect,1.0537999999999998
semantic,6,dev_0039,no,"NO

Carbon and hydrogen form nonpolar covalent bonds because they have",no,no,Correct,1.0582
semantic,6,dev_0055,no,"I don't know. Wisconsin has not won the Little League World Series, but",i,idk,IDK,1.0505
semantic,6,dev_0059,no,NO. The Five Heartbeats is a fictional R&B quartet from the,no,no,Correct,1.1067
semantic,6,dev_0068,no,"NO. In most countries, including the United States, it is illegal to impose",no,no,Correct,1.0477
semantic,6,dev_0087,yes,"NO. A frog placed in boiling water will jump out immediately. However, if",no,no,Incorrect,1.0524
semantic,6,dev_0107,no,"NO

Gambling winnings in Australia are generally not taxable. However, it's",no,no,Correct,1.0495999999999999
semantic,6,dev_0120,yes,NO. A vehicle title is different from registration. The title proves ownership and provides,no,no,Incorrect,1.0519
semantic,6,dev_0138,no,NO. The National Minimum Drinking Age Act requires all states to set the legal drinking,no,no,Correct,1.054
semantic,6,dev_0151,no,"NO

Numbers do not look the same in all languages. For example, the",no,no,Correct,1.0468
semantic,6,dev_0163,yes,NO. The square root of 2 cannot be written as a fraction because it,no,no,Incorrect,1.1078
semantic,6,dev_0165,no,NO,no,no,Correct,1.04
semantic,6,dev_0207,no,NO. France is generally in the Central European Time (CET) or Central,no,no,Correct,1.0425
semantic,6,dev_0210,no,NO,no,no,Correct,1.0535
semantic,6,dev_0221,no,"NO. Markup languages are designed to structure and format content, not just describe data",no,no,Correct,1.045
semantic,6,dev_0229,yes,"NO

Most National Insurance Numbers (NINos) in the UK consist of",no,no,Incorrect,1.0545
semantic,6,dev_0237,no,"NO

The terms ""2-cycle"" and ""2-stroke"" refer to",no,no,Correct,1.0497
semantic,6,dev_0243,no,"NO. While St. Louis has a Chinese community, it does not have an",no,no,Correct,1.0548
semantic,6,dev_0248,yes,"NO. While cheetahs are the fastest land animals, reaching speeds up",no,no,Incorrect,1.0467
semantic,6,dev_0249,yes,"NO. Queen ants lay eggs, but whether an egg develops into a queen depends",no,no,Incorrect,1.0469000000000002
semantic,6,dev_0251,yes,"NO. Each sister chromatid has the same amount of DNA as a chromosome,",no,no,Incorrect,1.0459
semantic,6,dev_0257,yes,NO. Glass windows do not typically break on their own due to thermal stress unless,no,no,Incorrect,1.0479
semantic,6,dev_0270,no,"NO. In the United States, the legal drinking age is uniformly 21",no,no,Correct,1.1080999999999999
semantic,6,dev_0287,yes,"YES

You can signal for a fair catch on a kickoff by raising both arms",yes,yes,Correct,1.0489000000000002
semantic,6,dev_0295,no,"NO

While ""pigeon"" and ""dove"" are often used",no,no,Correct,1.0519
semantic,6,dev_0298,yes,"NO. Sheet metal gauge measures the thickness of sheet metal, while wire gauge measures",no,no,Incorrect,1.0440999999999998
semantic,6,dev_0312,no,NO. Adjectives can come before or after a noun depending on the language and,no,no,Correct,1.0412000000000001
semantic,6,dev_0316,yes,"NO. The internal intercostal muscles contract during expiration, not inspiration. During",no,no,Incorrect,1.0497
semantic,6,dev_0318,yes,YES. An Ace-2-3-4-5 is indeed a straight,yes,yes,Correct,1.107
semantic,6,dev_0321,yes,"NO

Filibusters are primarily used to prevent a vote on legislation, not",no,no,Incorrect,1.0515
semantic,6,dev_0333,yes,NO. The .22 Magnum (often abbreviated as .22 Mag.),no,no,Incorrect,1.0500999999999998
semantic,6,dev_0336,no,"NO. Muay Thai and Thai boxing are essentially the same thing, referring to",no,no,Correct,1.0438
semantic,6,dev_0343,yes,"NO. The executive branch includes other members such as the Vice President, Cabinet secret",no,no,Incorrect,1.0504
semantic,6,dev_0352,no,"NO. In soccer, you cannot score directly from a throw-in. The ball",no,no,Correct,1.0486
semantic,6,dev_0355,no,NO,no,no,Correct,1.0473
semantic,6,dev_0364,no,"NO. While wicket-keeping is a crucial role in cricket, especially in",no,no,Correct,1.0495
semantic,6,dev_0366,no,"YES

A structure called the pelvic diaphragm, primarily composed of muscle and",yes,yes,Incorrect,1.0514000000000001
semantic,6,dev_0406,no,NO. A California roll typically does not contain fish. It usually includes ingredients like,no,no,Correct,1.0478
semantic,6,dev_0428,no,NO. Peroxide refers to a broader category of compounds containing the peroxide functional,no,no,Correct,1.0497
semantic,6,dev_0429,yes,NO. Flax oil and linseed oil are derived from the same plant but,no,no,Incorrect,1.049
semantic,6,dev_0430,yes,NO. The Banaue Rice Terraces are not one of the 7,no,no,Incorrect,1.0515
semantic,6,dev_0436,no,"YES

The term ""broken heart"" is often used metaphorically to describe emotional",yes,yes,Incorrect,1.1075
semantic,6,dev_0441,no,NO. Shrimp with lobster sauce typically contains shrimp and a sauce that may be,no,no,Correct,1.0485
semantic,6,dev_0442,yes,"YES. Lead dust can be absorbed through the eyes, which is why it's",yes,yes,Correct,1.0488
semantic,6,dev_0479,no,"NO

Miniature pigs, also known as teacup pigs or micro pigs",no,no,Correct,1.0506
semantic,6,dev_0481,no,"NO. New York City consists of five boroughs: Manhattan, Brooklyn, Queens",no,no,Correct,1.0533
semantic,6,dev_0482,no,NO,no,no,Correct,1.0508
semantic,6,dev_0487,no,"NO. Banana trees are grown from rhizomes, not from bananas themselves.",no,no,Correct,1.0485
semantic,6,dev_0504,yes,NO. Friction tape and electrical tape are not the same. Electrical tape is,no,no,Incorrect,1.0466
semantic,6,dev_0509,no,"NO. The AR-15 is primarily used by civilians for hunting, target",no,no,Correct,1.0505
semantic,6,dev_0532,no,"YES

It is indeed possible to connect the brain to a computer through brain-com",yes,yes,Incorrect,1.0487
semantic,6,dev_0534,no,"NO

The National Guard can be activated for state duties within the United States or",no,no,Correct,1.0505
semantic,6,dev_0536,yes,"NO. Thanos does not appear in the first ""Guardians of the Galaxy",no,no,Incorrect,1.0515
semantic,6,dev_0537,no,"NO

You typically cannot receive a caution without being arrested first, although the process",no,no,Correct,1.0462
semantic,6,dev_0546,yes,NO. The College of William & Mary is a Colonial College but not an Ivy,no,no,Incorrect,1.0508
semantic,6,dev_0560,no,NO. The University of Tampa no longer has a football team. The school discontinued,no,no,Correct,1.0460999999999998
semantic,6,dev_0568,no,NO. The movie Heat (1995) was not based on a,no,no,Correct,1.042
semantic,6,dev_0569,no,NO. The NBA salary cap has elements of both a hard cap and a soft,no,no,Correct,1.0486
semantic,6,dev_0588,yes,"NO. Boost Mobile and Virgin Mobile are separate brands in the telecommunications industry, each",no,no,Incorrect,1.0468
semantic,6,dev_0594,no,"NO. Bee stingers are typically removed from the skin by scraping them off,",no,no,Correct,1.0463
semantic,6,dev_0596,no,NO. C# and Visual C# are related but not exactly the same.,no,no,Correct,1.0467
semantic,6,dev_0598,yes,NO,no,no,Incorrect,1.0529000000000002
semantic,6,dev_0612,yes,"NO. Popcorn is made from a specific type of dried corn kernel, not",no,no,Incorrect,1.0504
semantic,6,dev_0617,yes,NO. France and England have not faced each other in the FIFA World Cup finals,no,no,Incorrect,1.0367
semantic,6,dev_0662,yes,NO. LensCrafters and Pearle Vision were both brands owned by Luxott,no,no,Incorrect,1.05
semantic,6,dev_0678,no,NO. Washing a child's mouth with soap is not safe and can cause irritation,no,no,Correct,1.0495999999999999
semantic,6,dev_0696,no,NO. New Hampshire does not have a mandatory seat belt law for adults. However,no,no,Correct,1.0473
semantic,6,dev_0711,yes,NO. Musician's Friend and Guitar Center are two separate companies in the musical,no,no,Incorrect,1.047
semantic,6,dev_0718,yes,"NO. The third largest city in the United States by population is Los Angeles,",no,no,Incorrect,1.0479
