scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
meta,16,dev_0023,yes,NO. A cape and a cloak are not the same. While both are types,no,no,Incorrect,0.6641
meta,16,dev_0039,no,"YES. 
Carbon can form a polar covalent bond with hydrogen. The",yes,yes,Incorrect,0.6627000000000001
meta,16,dev_0055,no,"YES. Ambiguous term: ""Little League World Series"" - typically refers to",yes,yes,Incorrect,0.6617000000000001
meta,16,dev_0059,no,YES. The Five Heartbeats is an American R&B vocal group from Chicago,yes,yes,Incorrect,0.6686
meta,16,dev_0068,no,I don't know. The laws regarding the death penalty for minors vary by jurisdiction,i,idk,IDK,0.6656
meta,16,dev_0087,yes,"YES. 
The term ""boiling water"" may be ambiguous, as it",yes,yes,Correct,0.6707000000000001
meta,16,dev_0107,no,YES. The Australian Taxation Office (ATO) considers gambling winnings to be taxable,yes,yes,Incorrect,0.6614
meta,16,dev_0120,yes,I don't know. (Ambiguous terms:'vehicle title' and ',i,idk,IDK,0.6683
meta,16,dev_0138,no,YES. The drinking age is not the same in every state in the United States,yes,yes,Incorrect,0.672
meta,16,dev_0151,no,"NO
Ambiguous term: ""look the same"" - This term could be",no,no,Correct,0.6691
meta,16,dev_0163,yes,NO. The square root of 2 is an irrational number and cannot be expressed,no,no,Incorrect,0.6678999999999999
meta,16,dev_0165,no,YES,yes,yes,Incorrect,0.6644
meta,16,dev_0207,no,YES.,yes,yes,Incorrect,0.6713
meta,16,dev_0210,no,"NO. The Three Little Pigs is a traditional European folktale, not",no,no,Correct,0.6631
meta,16,dev_0221,no,I don't know.,i,idk,IDK,0.6691
meta,16,dev_0229,yes,"YES. 
Ambiguous term: 'all'. Please clarify if you mean '",yes,yes,Correct,0.6637000000000001
meta,16,dev_0237,no,YES. Ambiguous term: the question doesn't specify which aspect of the difference,yes,yes,Incorrect,0.6656
meta,16,dev_0243,no,YES,yes,yes,Incorrect,0.665
