scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
misleading,6,dev_0023,yes,NO.,no,no,Incorrect,1.0329000000000002
misleading,6,dev_0039,no,YES,yes,yes,Incorrect,1.0833
misleading,6,dev_0055,no,"I don't know. Wisconsin has not won the Little League World Series, but",i,idk,IDK,1.0380999999999998
misleading,6,dev_0059,no,NO.,no,no,Correct,1.1067
misleading,6,dev_0068,no,NO.,no,no,Correct,1.1075
misleading,6,dev_0087,yes,NO. The myth that a frog will jump out of boiling water if it is,no,no,Incorrect,1.0528
misleading,6,dev_0107,no,"NO. In Australia, gambling winnings are generally not taxable unless they exceed a certain",no,no,Correct,1.0555
misleading,6,dev_0120,yes,NO.,no,no,Incorrect,2.3861
misleading,6,dev_0138,no,NO.,no,no,Correct,1.0468
misleading,6,dev_0151,no,NO. Numbers do not look the same in all languages or cultures; they can,no,no,Correct,1.1137000000000001
misleading,6,dev_0163,yes,NO.,no,no,Incorrect,1.1071
misleading,6,dev_0165,no,NO.,no,no,Correct,1.047
misleading,6,dev_0207,no,NO.,no,no,Correct,1.0549000000000002
misleading,6,dev_0210,no,NO.,no,no,Correct,1.1108
misleading,6,dev_0221,no,"NO. A markup language is designed to structure and format content, not specifically to",no,no,Correct,1.0504
misleading,6,dev_0229,yes,NO.,no,no,Incorrect,1.1152
misleading,6,dev_0237,no,"NO. 

There is no difference between 2-cycle and 2-stroke",no,no,Correct,1.0537999999999998
misleading,6,dev_0243,no,"I don't know. While St. Louis has a history of immigrant communities,",i,idk,IDK,1.0448
misleading,6,dev_0248,yes,"NO. The cheetah is the fastest land animal, while birds like the",no,no,Incorrect,1.1137000000000001
misleading,6,dev_0249,yes,"NO, queen ants lay eggs that develop into different castes depending on the food",no,no,Incorrect,1.1118
misleading,6,dev_0251,yes,"NO. One sister chromatid has the same amount of DNA as a chromosome,",no,no,Incorrect,1.1111
misleading,6,dev_0257,yes,NO. Glass windows do not typically break on their own due to spontaneous failure.,no,no,Incorrect,1.1095
misleading,6,dev_0270,no,YES.,yes,yes,Incorrect,1.0533
misleading,6,dev_0287,yes,YES,yes,yes,Correct,1.0531
misleading,6,dev_0295,no,NO. Doves and pigeons are generally considered the same family (Colum,no,no,Correct,2.4525
misleading,6,dev_0298,yes,NO. Sheet metal gauge and wire gauge refer to different systems used to measure thickness,no,no,Incorrect,1.0540999999999998
misleading,6,dev_0312,no,"NO, adjectives do not always have to come before a noun; they can",no,no,Correct,1.0480999999999998
misleading,6,dev_0316,yes,NO.,no,no,Incorrect,1.0469000000000002
misleading,6,dev_0318,yes,NO. An Ace-2-3-4-5 is not considered a,no,no,Incorrect,1.1156
