scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
underspecified,16,dev_0023,yes,NO. A cape and a cloak are similar in that they both cover the upper,no,no,Incorrect,3.7248
underspecified,16,dev_0039,no,"NO

Carbon and hydrogen typically form nonpolar covalent bonds because they",no,no,Correct,2.4751
underspecified,16,dev_0055,no,NO. Wisconsin has never won the Little League World Series. The state has not,no,no,Correct,2.3969
underspecified,16,dev_0059,no,"NO. ""The Five Heartbeats"" is a fictional R&B quartet",no,no,Correct,2.4869
underspecified,16,dev_0068,no,"NO. In most countries, including the United States, it is illegal to impose",no,no,Correct,2.4818000000000002
underspecified,16,dev_0087,yes,NO. The myth that a frog will jump out of boiling water if it is,no,no,Incorrect,2.3907
underspecified,16,dev_0107,no,"NO

In Australia, gambling winnings are generally not subject to income tax. However",no,no,Correct,2.3808000000000002
underspecified,16,dev_0120,yes,NO.,no,no,Incorrect,2.3618
underspecified,16,dev_0138,no,"NO

In the United States, the minimum drinking age is统一格式：",no,no,Correct,2.3931999999999998
underspecified,16,dev_0151,no,NO. Numbers do not look the same in all languages. Different cultures and languages,no,no,Correct,2.3748
underspecified,16,dev_0163,yes,"NO

The square root of 2 is an irrational number, which means it",no,no,Incorrect,2.3886
underspecified,16,dev_0165,no,"NO

Dragon fruit and pitaya are essentially the same thing. Pitaya is",no,no,Correct,3.8146
underspecified,16,dev_0207,no,NO. France and the UK are generally in different time zones. The UK is,no,no,Correct,2.382
underspecified,16,dev_0210,no,"NO. The Three Little Pigs is a folk tale, not a nursery rhyme",no,no,Correct,2.4769
underspecified,16,dev_0221,no,"YES. Markup languages are designed to describe and structure data, often using tags to",yes,yes,Incorrect,2.3888000000000003
underspecified,16,dev_0229,yes,NO. All UK National Insurance numbers do not have a letter at the end.,no,no,Incorrect,2.3803
underspecified,16,dev_0237,no,"NO

Both terms refer to the same type of engine. A 2-cycle",no,no,Correct,2.3895
