scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
misleading,6,dev_0023,yes,NO,no,no,Incorrect,0.4398
misleading,6,dev_0039,no,YES,yes,yes,Incorrect,0.44
misleading,6,dev_0055,no,"Yes, Wisconsin has been in the Little League World Series.",yes,yes,Incorrect,0.3753
misleading,6,dev_0059,no,I don't know.,i,idk,IDK,0.4435
misleading,6,dev_0068,no,I don't know.,i,idk,IDK,0.4392
misleading,6,dev_0087,yes,I don't know.,i,idk,IDK,0.4446
misleading,6,dev_0107,no,"Yes, in Australia, gambling winnings are subject to income tax and must be reported",yes,yes,Incorrect,0.4447
misleading,6,dev_0120,yes,NO,no,no,Incorrect,0.42519999999999997
misleading,6,dev_0138,no,YES,yes,yes,Incorrect,0.4412
misleading,6,dev_0151,no,I don't know.,i,idk,IDK,0.4405
misleading,6,dev_0163,yes,"No, the square root of 2 cannot be written as a fraction; it",no,no,Incorrect,0.44739999999999996
misleading,6,dev_0165,no,"YES, dragon fruit and pitaya are the same thing. Dragon fruit is the",yes,yes,Incorrect,0.44060000000000005
misleading,6,dev_0207,no,"No, France and the UK are not in the same time zone. France is",no,no,Correct,0.444
misleading,6,dev_0210,no,YES,yes,yes,Incorrect,0.442
misleading,6,dev_0221,no,YES,yes,yes,Incorrect,0.4408
misleading,6,dev_0229,yes,"Yes, all UK National Insurance numbers have a letter at the end.",yes,yes,Correct,0.4472
misleading,6,dev_0237,no,"Yes, there is a difference between 2-cycle and 2-stroke engines",yes,yes,Incorrect,0.443
misleading,6,dev_0243,no,"Yes, there is a Chinatown in St. Louis, Missouri.",yes,yes,Incorrect,0.44630000000000003
misleading,6,dev_0248,yes,I don't know.,i,idk,IDK,0.45080000000000003
misleading,6,dev_0249,yes,I don't know.,i,idk,IDK,0.44389999999999996
misleading,6,dev_0251,yes,Yes.,yes,yes,Correct,0.15259999999999999
misleading,6,dev_0257,yes,I don't know.,i,idk,IDK,0.44260000000000005
misleading,6,dev_0270,no,"Yes, there are several U.S. states where the legal drinking age is",yes,yes,Incorrect,0.4268
misleading,6,dev_0287,yes,"I don't know. In American football, a fair catch is typically called on a",i,idk,IDK,0.4675
misleading,6,dev_0295,no,"Yes, there is a difference between doves and pigeons. Doves are",yes,yes,Incorrect,0.44210000000000005
misleading,6,dev_0298,yes,"No, sheet metal gauge and wire gauge are not the same. They are different",no,no,Incorrect,0.4263
misleading,6,dev_0312,no,"I don't know. Adjectives typically come before nouns in English, but there",i,idk,IDK,0.4423
misleading,6,dev_0316,yes,"No, the internal intercostal muscles contract during expiration, not inspiration.",no,no,Incorrect,0.44380000000000003
misleading,6,dev_0318,yes,"Yes, an Ace-2-3-4-5 is a straight in",yes,yes,Correct,0.4676
misleading,6,dev_0321,yes,NO,no,no,Incorrect,0.44680000000000003
misleading,6,dev_0333,yes,I don't know.,i,idk,IDK,0.44989999999999997
misleading,6,dev_0336,no,"Yes, Muay Thai and Thai boxing are similar but distinct martial arts. Mu",yes,yes,Incorrect,0.442
misleading,6,dev_0343,yes,I don't know.,i,idk,IDK,0.447
misleading,6,dev_0352,no,"No, you cannot score off a throw-in in soccer. A throw-in is",no,no,Correct,0.4456
misleading,6,dev_0355,no,I don't know.,i,idk,IDK,0.4425
misleading,6,dev_0364,no,I don't know.,i,idk,IDK,0.4452
misleading,6,dev_0366,no,"Yes, the pelvic brim (or pelvic inlet) separates the abdominal cavity from the",yes,yes,Incorrect,0.44380000000000003
misleading,6,dev_0406,no,Yes.,yes,yes,Incorrect,0.4275
misleading,6,dev_0428,no,"Yes, hydrogen peroxide is a type of peroxide, so they are the same thing",yes,yes,Incorrect,0.4452
misleading,6,dev_0429,yes,"Yes, flax oil and linseed oil are the same; they are different names",yes,yes,Correct,0.4465
misleading,6,dev_0430,yes,"No, the Banaue Rice Terraces are not one of the 7 Wonders",no,no,Incorrect,0.4452
