scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
meta,16,dev_0023,yes,NO,no,no,Incorrect,0.7152999999999999
meta,16,dev_0039,no,YES,yes,yes,Incorrect,0.7161000000000001
meta,16,dev_0055,no,YES,yes,yes,Incorrect,2.046
meta,16,dev_0059,no,I don't know,i,idk,IDK,0.7147
meta,16,dev_0068,no,NO,no,no,Correct,0.7161000000000001
meta,16,dev_0087,yes,NO,no,no,Incorrect,0.716
meta,16,dev_0107,no,I don't know,i,idk,IDK,0.7156
meta,16,dev_0120,yes,NO,no,no,Incorrect,0.7155
meta,16,dev_0138,no,YES,yes,yes,Incorrect,0.7153999999999999
meta,16,dev_0151,no,I don't know,i,idk,IDK,0.7147
meta,16,dev_0163,yes,I don't know,i,idk,IDK,0.716
meta,16,dev_0165,no,YES,yes,yes,Incorrect,0.7166
meta,16,dev_0207,no,NO,no,no,Correct,0.7171000000000001
meta,16,dev_0210,no,YES,yes,yes,Incorrect,0.7155
meta,16,dev_0221,no,YES,yes,yes,Incorrect,0.7159
meta,16,dev_0229,yes,I don't know,i,idk,IDK,0.7165
meta,16,dev_0237,no,I don't know,i,idk,IDK,0.7179
meta,16,dev_0243,no,I don't know,i,idk,IDK,0.7163999999999999
meta,16,dev_0248,yes,NO,no,no,Incorrect,0.7148
meta,16,dev_0249,yes,YES,yes,yes,Correct,0.7147
meta,16,dev_0251,yes,NO,no,no,Incorrect,0.7167
meta,16,dev_0257,yes,NO,no,no,Incorrect,0.715
meta,16,dev_0270,no,NO,no,no,Correct,0.7167
meta,16,dev_0287,yes,NO,no,no,Incorrect,0.7162999999999999
meta,16,dev_0295,no,I don't know,i,idk,IDK,0.7162999999999999
meta,16,dev_0298,yes,NO,no,no,Incorrect,0.7155
meta,16,dev_0312,no,I don't know,i,idk,IDK,0.7158
meta,16,dev_0316,yes,NO,no,no,Incorrect,0.7156
meta,16,dev_0318,yes,YES,yes,yes,Correct,0.7159
meta,16,dev_0321,yes,I don't know,i,idk,IDK,0.7158
meta,16,dev_0333,yes,NO,no,no,Incorrect,0.7162999999999999
meta,16,dev_0336,no,YES,yes,yes,Incorrect,0.7172000000000001
meta,16,dev_0343,yes,NO,no,no,Incorrect,0.7158
meta,16,dev_0352,no,NO,no,no,Correct,0.7152999999999999
meta,16,dev_0355,no,NO,no,no,Correct,0.7158
meta,16,dev_0364,no,NO,no,no,Correct,0.7166
meta,16,dev_0366,no,YES,yes,yes,Incorrect,0.7152999999999999
meta,16,dev_0406,no,NO,no,no,Correct,0.7157
meta,16,dev_0428,no,YES,yes,yes,Incorrect,0.7155
meta,16,dev_0429,yes,YES,yes,yes,Correct,0.7167
meta,16,dev_0430,yes,NO,no,no,Incorrect,0.7172000000000001
meta,16,dev_0436,no,I don't know,i,idk,IDK,0.7153999999999999
meta,16,dev_0441,no,I don't know,i,idk,IDK,0.7149
meta,16,dev_0442,yes,YES,yes,yes,Correct,0.7167
meta,16,dev_0479,no,YES,yes,yes,Incorrect,0.7163999999999999
meta,16,dev_0481,no,NO,no,no,Correct,0.7159
meta,16,dev_0482,no,NO,no,no,Correct,0.7189
meta,16,dev_0487,no,I don't know,i,idk,IDK,0.7156
meta,16,dev_0504,yes,NO,no,no,Incorrect,0.7148
meta,16,dev_0509,no,YES,yes,yes,Incorrect,2.0595
meta,16,dev_0532,no,I don't know,i,idk,IDK,0.7168
meta,16,dev_0534,no,YES,yes,yes,Incorrect,0.7157
meta,16,dev_0536,yes,NO,no,no,Incorrect,0.7156
meta,16,dev_0537,no,I don't know,i,idk,IDK,0.7153999999999999
meta,16,dev_0546,yes,NO,no,no,Incorrect,0.7166
meta,16,dev_0560,no,YES,yes,yes,Incorrect,0.7161000000000001
meta,16,dev_0568,no,NO,no,no,Correct,0.7157
meta,16,dev_0569,no,NO,no,no,Correct,0.7162999999999999
meta,16,dev_0588,yes,I don't know,i,idk,IDK,0.7172000000000001
meta,16,dev_0594,no,NO,no,no,Correct,0.7159
meta,16,dev_0596,no,NO,no,no,Correct,0.7157
meta,16,dev_0598,yes,NO,no,no,Incorrect,0.716
meta,16,dev_0612,yes,NO,no,no,Incorrect,0.7156
meta,16,dev_0617,yes,NO,no,no,Incorrect,0.7158
meta,16,dev_0662,yes,NO,no,no,Incorrect,0.716
meta,16,dev_0678,no,NO,no,no,Correct,0.7173999999999999
meta,16,dev_0696,no,YES,yes,yes,Incorrect,0.7162000000000001
meta,16,dev_0711,yes,NO,no,no,Incorrect,0.7155
meta,16,dev_0718,yes,NO,no,no,Incorrect,0.7152999999999999
meta,16,dev_0724,no,I don't know,i,idk,IDK,0.7152999999999999
meta,16,dev_0731,no,I don't know,i,idk,IDK,0.7148
meta,16,dev_0737,no,I don't know,i,idk,IDK,0.716
meta,16,dev_0754,yes,NO,no,no,Incorrect,0.7148
meta,16,dev_0759,no,NO,no,no,Correct,0.7158
meta,16,dev_0764,yes,NO,no,no,Incorrect,0.7156
meta,16,dev_0782,yes,NO,no,no,Incorrect,0.7162999999999999
meta,16,dev_0817,no,I don't know,i,idk,IDK,0.7153999999999999
meta,16,dev_0829,no,NO,no,no,Correct,0.7169
meta,16,dev_0832,no,YES,yes,yes,Incorrect,0.7167
meta,16,dev_0837,yes,I don't know,i,idk,IDK,0.7156
meta,16,dev_0853,no,NO,no,no,Correct,0.717
meta,16,dev_0854,no,NO,no,no,Correct,0.7159
meta,16,dev_0862,no,NO,no,no,Correct,0.715
meta,16,dev_0871,yes,I don't know,i,idk,IDK,0.7162999999999999
meta,16,dev_0916,yes,NO,no,no,Incorrect,0.7172000000000001
meta,16,dev_0922,yes,NO,no,no,Incorrect,0.7153999999999999
meta,16,dev_0933,no,YES,yes,yes,Incorrect,2.0481
meta,16,dev_0934,yes,NO,no,no,Incorrect,0.7156
meta,16,dev_0940,yes,NO,no,no,Incorrect,0.7151000000000001
meta,16,dev_0944,no,I don't know,i,idk,IDK,0.7149
meta,16,dev_0952,yes,NO,no,no,Incorrect,0.716
meta,16,dev_0958,yes,NO,no,no,Incorrect,0.7162000000000001
meta,16,dev_0981,no,I don't know,i,idk,IDK,0.7161000000000001
meta,16,dev_0991,yes,I don't know,i,idk,IDK,0.7161000000000001
meta,16,dev_0994,yes,I don't know,i,idk,IDK,0.7161000000000001
meta,16,dev_0996,no,NO,no,no,Correct,0.7166
meta,16,dev_1006,no,I don't know,i,idk,IDK,0.7142999999999999
meta,16,dev_1011,no,I don't know,i,idk,IDK,0.7152000000000001
meta,16,dev_1022,yes,I don't know,i,idk,IDK,0.716
meta,16,dev_1049,no,YES,yes,yes,Incorrect,0.7158
meta,16,dev_1062,yes,NO,no,no,Incorrect,0.7162999999999999
meta,16,dev_1075,yes,NO,no,no,Incorrect,0.7152999999999999
meta,16,dev_1102,no,YES,yes,yes,Incorrect,0.7151000000000001
meta,16,dev_1110,yes,NO,no,no,Incorrect,0.7157
meta,16,dev_1112,no,I don't know,i,idk,IDK,0.7156
meta,16,dev_1113,yes,NO,no,no,Incorrect,0.7156
meta,16,dev_1121,no,NO,no,no,Correct,0.7159
meta,16,dev_1133,no,I don't know,i,idk,IDK,0.7172999999999999
meta,16,dev_1138,yes,NO,no,no,Incorrect,0.7151000000000001
meta,16,dev_1146,yes,I don't know,i,idk,IDK,0.716
meta,16,dev_1155,yes,NO,no,no,Incorrect,0.7162000000000001
meta,16,dev_1175,no,YES,yes,yes,Incorrect,0.7152999999999999
meta,16,dev_1178,no,YES,yes,yes,Incorrect,0.7149
meta,16,dev_1183,yes,NO,no,no,Incorrect,0.7163999999999999
meta,16,dev_1196,no,YES,yes,yes,Incorrect,0.7175
meta,16,dev_1204,yes,I don't know,i,idk,IDK,0.7155
meta,16,dev_1205,no,NO,no,no,Correct,0.7167
meta,16,dev_1209,yes,I don't know,i,idk,IDK,0.7143999999999999
meta,16,dev_1227,no,NO,no,no,Correct,0.716
meta,16,dev_1229,no,NO,no,no,Correct,0.7162999999999999
meta,16,dev_1230,yes,NO,no,no,Incorrect,0.7155
meta,16,dev_1235,no,YES,yes,yes,Incorrect,0.7163999999999999
meta,16,dev_1239,yes,NO,no,no,Incorrect,0.7161000000000001
meta,16,dev_1241,no,YES,yes,yes,Incorrect,0.7155
meta,16,dev_1250,yes,YES,yes,yes,Correct,0.7158
