scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
baseline,1,dev_0023,yes,"YES, both are forms of outer garments that cover the body, typically worn over",yes,yes,Correct,1.1351
baseline,1,dev_0039,no,"## Step 1: Understanding the question
The question asks if carbon can form",step,other,NC,0.45380000000000004
baseline,1,dev_0055,no,YES. Wisconsin has had several teams participate in the Little League World Series. The,yes,yes,Incorrect,0.4475
baseline,1,dev_0059,no,YES. The Five Heartbeats is a 1991 American drama film directed,yes,yes,Incorrect,0.449
baseline,1,dev_0068,no,"Yes, in some jurisdictions, minors can be sentenced to death. This is often",yes,yes,Incorrect,0.44680000000000003
baseline,1,dev_0087,yes,"YES. Frogs are ectothermic, meaning their body temperature is regulated by",yes,yes,Correct,0.44480000000000003
baseline,1,dev_0107,no,"Yes, in Australia, gambling winnings are taxable. If you win money from gambling",yes,yes,Incorrect,0.4465
baseline,1,dev_0120,yes,"YES. A vehicle title and registration are essentially the same thing, but they serve",yes,yes,Correct,0.44580000000000003
baseline,1,dev_0138,no,"YES. The drinking age is 21 in all states, but it was",yes,yes,Incorrect,0.44980000000000003
baseline,1,dev_0151,no,"NO
Numbers are typically represented using the same digits (0-9) in",no,no,Correct,0.445
baseline,1,dev_0163,yes,"YES, NO or 'I don't know'? 
YES. It is the",yes,yes,Correct,0.44680000000000003
baseline,1,dev_0165,no,"YES. Dragon fruit and pitaya are the same thing. The name ""dragon",yes,yes,Incorrect,0.4446
baseline,1,dev_0207,no,YES. Both countries are in the Greenwich Mean Time (GMT) time zone during,yes,yes,Incorrect,0.446
baseline,1,dev_0210,no,"YES. The Three Little Pigs is a traditional nursery rhyme, often accompanied by",yes,yes,Incorrect,0.4506
baseline,1,dev_0221,no,"YES. Markup languages are used to describe data, such as XML, which is",yes,yes,Incorrect,0.4502
baseline,1,dev_0229,yes,"Yes, all UK National Insurance numbers have a letter at the end. The format",yes,yes,Correct,0.45580000000000004
baseline,1,dev_0237,no,YES. A 2-cycle engine is a type of engine that has two strokes,yes,yes,Incorrect,0.45289999999999997
baseline,1,dev_0243,no,"YES, there is a Chinatown in St. Louis, Missouri.  St",yes,yes,Incorrect,0.4545
baseline,1,dev_0248,yes,I don't know. While cheetahs are generally considered the fastest land,i,idk,IDK,0.4573
baseline,1,dev_0249,yes,"Yes. In fact, most queen ants are the daughters of worker ants, not",yes,yes,Correct,0.4573
baseline,1,dev_0251,yes,YES. Each sister chromatid has the same DNA content as the chromosome. This,yes,yes,Correct,0.44410000000000005
baseline,1,dev_0257,yes,"YES.  Any object that is under stress may break, even if it is",yes,yes,Correct,0.44410000000000005
baseline,1,dev_0270,no,"YES. In Mississippi, the drinking age is 18. However, it's",yes,yes,Incorrect,0.45339999999999997
baseline,1,dev_0287,yes,Yes.,yes,yes,Correct,0.45080000000000003
baseline,1,dev_0295,no,"Yes, there is a difference between doves and pigeons. While both birds",yes,yes,Incorrect,0.45539999999999997
baseline,1,dev_0298,yes,"## Step 1: Understand the question
The question is asking whether sheet metal",step,other,NC,0.44689999999999996
baseline,1,dev_0312,no,"## Yes
In English, adjectives typically come before the noun they modify.",yes,yes,Incorrect,0.4564
baseline,1,dev_0316,yes,"NO
The internal intercostal muscles contract during expiration, not inspiration. The",no,no,Incorrect,0.457
baseline,1,dev_0318,yes,"YES.  In this case, the straight is in the order Ace,",yes,yes,Correct,0.4525
baseline,1,dev_0321,yes,The filibuster is a procedure used in the United States Senate to delay or block,the,other,NC,0.44989999999999997
baseline,1,dev_0333,yes,,,other,NC,0.447
baseline,1,dev_0336,no,YES. Muay Thai is a style of stand-up striking art from Thailand that,yes,yes,Incorrect,0.448
baseline,1,dev_0343,yes,The president is not the only member of the executive branch. The executive branch includes,the,other,NC,0.458
baseline,1,dev_0352,no,YES. A player can score off a throw-in in soccer if the ball has,yes,yes,Incorrect,0.4495
baseline,1,dev_0355,no,YES. Father's Day is celebrated on the third Sunday of June every year.,yes,yes,Incorrect,0.44480000000000003
baseline,1,dev_0364,no,"Yes, in cricket, a wicket-keeper is a mandatory fielder,",yes,yes,Incorrect,0.452
baseline,1,dev_0366,no,"Yes, the diaphragm separates the abdominal cavity from the thoracic cavity,",yes,yes,Incorrect,0.45339999999999997
baseline,1,dev_0406,no,"YES, a California roll typically has fish in it, usually imitation crab meat (",yes,yes,Incorrect,0.4546
baseline,1,dev_0428,no,"## Step 1: Understand the question
The question asks whether peroxide and",step,other,NC,0.4572
baseline,1,dev_0429,yes,"Yes, flax oil and linseed oil are the same. Flax oil",yes,yes,Correct,0.44839999999999997
baseline,1,dev_0430,yes,I don't know. I can provide more information about the Banaue Rice,i,idk,IDK,0.4732
baseline,1,dev_0436,no,"YES, there is such a thing as a broken heart. It is a collo",yes,yes,Incorrect,0.4576
baseline,1,dev_0441,no,YES. The sauce contains lobster meat.,yes,yes,Incorrect,0.44830000000000003
baseline,1,dev_0442,yes,YES. Lead dust can be absorbed through the eyes. The eyes are a potential,yes,yes,Correct,0.4485
baseline,1,dev_0479,no,YES. Miniature pigs are small breeds of pigs that are kept as pets or,yes,yes,Incorrect,0.45539999999999997
baseline,1,dev_0481,no,"YES, NO or 'I don't know'?  I'll do my best",yes,yes,Incorrect,0.4516
baseline,1,dev_0482,no,"YES, a bumblebee typically dies after stinging someone because its stinger",yes,yes,Incorrect,0.4602
baseline,1,dev_0487,no,"NO. Banana plants are sterile and cannot produce viable seeds, so you cannot grow",no,no,Correct,0.4471
baseline,1,dev_0504,yes,I don't know. Friction tape and electrical tape are,i,idk,IDK,0.4446
baseline,1,dev_0509,no,YES. The AR-15 is a semi-automatic or automatic rifle that is widely,yes,yes,Incorrect,0.44880000000000003
baseline,1,dev_0532,no,Yes. It is theoretically possible to connect a brain to a computer. This is,yes,yes,Incorrect,0.44739999999999996
baseline,1,dev_0534,no,YES,yes,yes,Incorrect,0.4452
baseline,1,dev_0536,yes,"YES. Thanos made a brief appearance at the end of the movie, as",yes,yes,Correct,0.4455
baseline,1,dev_0537,no,"Yes, a caution is a formal warning given by the police for a minor offence",yes,yes,Incorrect,0.4511
baseline,1,dev_0546,yes,"No, the College of William & Mary is not an Ivy League school. It",no,no,Incorrect,0.4446
baseline,1,dev_0560,no,Yes. The University of Tampa has a football team. They compete in the NCAA,yes,yes,Incorrect,0.4471
baseline,1,dev_0568,no,"YES. The movie Heat (1995) was based on a book called """,yes,yes,Incorrect,0.4495
baseline,1,dev_0569,no,YES. The NBA salary cap is a hard cap. This means that teams cannot,yes,yes,Incorrect,0.4471
baseline,1,dev_0588,yes,Yes. Both are brands of Sprint Corporation. They offer the same coverage and services,yes,yes,Correct,0.4495
baseline,1,dev_0594,no,YES.  The stinger is barbed and becomes lodged in the skin of,yes,yes,Incorrect,0.4496
baseline,1,dev_0596,no,YES. C# and Visual C# are essentially the same thing. C#,yes,yes,Incorrect,0.4541
baseline,1,dev_0598,yes,"Yes, the Vice President is the President of the Senate. According to Article I",yes,yes,Correct,0.44689999999999996
baseline,1,dev_0612,yes,"YES. Popcorn is made from special types of corn called ""zea m",yes,yes,Correct,0.4481
baseline,1,dev_0617,yes,"YES
The World Cup is the most widely viewed and followed sporting event in the",yes,yes,Correct,0.4542
baseline,1,dev_0662,yes,"YES, the two companies are owned by the same parent company, Luxottica",yes,yes,Correct,0.4502
baseline,1,dev_0678,no,"YES, NO or 'I don't know' is not a suitable answer to",yes,yes,Incorrect,0.4452
baseline,1,dev_0696,no,YES. New Hampshire is one of the few states in the United States that does,yes,yes,Incorrect,0.4497
baseline,1,dev_0711,yes,YES. Guitar Center acquired Musician's Friend in 2009. The two,yes,yes,Correct,0.44589999999999996
baseline,1,dev_0718,yes,I don't know. I'd need more information to determine the ranking of cities,i,idk,IDK,0.4481
baseline,1,dev_0724,no,Yes. The sequel to Along Came a Spider is I Know What You Read Last,yes,yes,Incorrect,0.4545
baseline,1,dev_0731,no,"YES. Egg drop soup is a Chinese soup made with eggs, chicken broth,",yes,yes,Incorrect,0.4472
baseline,1,dev_0737,no,"YES. A Cornish game hen is a young chicken, typically harvested when it",yes,yes,Incorrect,0.4502
baseline,1,dev_0754,yes,YES.,yes,yes,Correct,0.45030000000000003
baseline,1,dev_0759,no,"YES. North and South Korea both speak Korean, also known as Chosong",yes,yes,Incorrect,0.4471
baseline,1,dev_0764,yes,Yes. Sampling error is the standard deviation of the sampling distribution. It is the,yes,yes,Correct,0.44689999999999996
