scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
baseline,1,dev_0023,yes,NO,no,no,Incorrect,0.5775
baseline,1,dev_0039,no,YES,yes,yes,Incorrect,0.0679
baseline,1,dev_0055,no,YES,yes,yes,Incorrect,0.068
baseline,1,dev_0059,no,YES,yes,yes,Incorrect,0.0679
baseline,1,dev_0068,no,NO,no,no,Correct,0.0678
baseline,1,dev_0087,yes,NO,no,no,Incorrect,0.0678
baseline,1,dev_0107,no,YES,yes,yes,Incorrect,0.0679
baseline,1,dev_0120,yes,NO,no,no,Incorrect,0.0677
baseline,1,dev_0138,no,YES,yes,yes,Incorrect,0.0679
baseline,1,dev_0151,no,NO,no,no,Correct,0.0678
baseline,1,dev_0163,yes,NO,no,no,Incorrect,0.0726
baseline,1,dev_0165,no,YES,yes,yes,Incorrect,0.3372
baseline,1,dev_0207,no,NO,no,no,Correct,0.0677
baseline,1,dev_0210,no,YES,yes,yes,Incorrect,0.068
baseline,1,dev_0221,no,YES,yes,yes,Incorrect,0.0679
baseline,1,dev_0229,yes,YES,yes,yes,Correct,0.0726
baseline,1,dev_0237,no,YES,yes,yes,Incorrect,0.0727
baseline,1,dev_0243,no,YES,yes,yes,Incorrect,0.068
baseline,1,dev_0248,yes,NO,no,no,Incorrect,0.0679
baseline,1,dev_0249,yes,YES,yes,yes,Correct,0.0678
baseline,1,dev_0251,yes,NO,no,no,Incorrect,0.0726
baseline,1,dev_0257,yes,NO,no,no,Incorrect,0.0678
baseline,1,dev_0270,no,NO,no,no,Correct,0.0726
baseline,1,dev_0287,yes,NO,no,no,Incorrect,0.0678
baseline,1,dev_0295,no,YES,yes,yes,Incorrect,0.0683
baseline,1,dev_0298,yes,NO,no,no,Incorrect,0.0681
baseline,1,dev_0312,no,NO,no,no,Correct,0.0682
baseline,1,dev_0316,yes,NO,no,no,Incorrect,0.3355
baseline,1,dev_0318,yes,YES,yes,yes,Correct,0.0728
baseline,1,dev_0321,yes,NO,no,no,Incorrect,0.0679
baseline,1,dev_0333,yes,NO,no,no,Incorrect,0.0679
baseline,1,dev_0336,no,YES,yes,yes,Incorrect,0.0678
baseline,1,dev_0343,yes,NO,no,no,Incorrect,0.068
baseline,1,dev_0352,no,NO,no,no,Correct,0.0677
baseline,1,dev_0355,no,NO,no,no,Correct,0.0676
baseline,1,dev_0364,no,NO,no,no,Correct,0.0678
baseline,1,dev_0366,no,YES,yes,yes,Incorrect,0.068
baseline,1,dev_0406,no,NO,no,no,Correct,0.0677
baseline,1,dev_0428,no,YES,yes,yes,Incorrect,0.3401
baseline,1,dev_0429,yes,YES,yes,yes,Correct,0.07
baseline,1,dev_0430,yes,NO,no,no,Incorrect,0.0729
baseline,1,dev_0436,no,YES,yes,yes,Incorrect,0.0679
baseline,1,dev_0441,no,NO,no,no,Correct,0.069
baseline,1,dev_0442,yes,YES,yes,yes,Correct,0.0698
baseline,1,dev_0479,no,YES,yes,yes,Incorrect,0.0678
baseline,1,dev_0481,no,NO,no,no,Correct,0.0679
baseline,1,dev_0482,no,NO,no,no,Correct,0.3485
baseline,1,dev_0487,no,NO,no,no,Correct,0.0679
baseline,1,dev_0504,yes,NO,no,no,Incorrect,0.0679
baseline,1,dev_0509,no,YES,yes,yes,Incorrect,0.3365
baseline,1,dev_0532,no,I don't know.,i,idk,IDK,0.10909999999999999
