scaffold,L,boolq_id,gold,reply,first_token,pred_label,acc_type,timing_s
underspecified,16,dev_0023,yes,NO,no,no,Incorrect,1.0014
underspecified,16,dev_0039,no,"YES, carbon can form a polar covalent bond with hydrogen. In a carbon",yes,yes,Incorrect,1.0312000000000001
underspecified,16,dev_0055,no,YES,yes,yes,Incorrect,0.9969
underspecified,16,dev_0059,no,I don't know.,i,idk,IDK,1.028
underspecified,16,dev_0068,no,NO,no,no,Correct,0.9984
underspecified,16,dev_0087,yes,NO,no,no,Incorrect,1.0297
underspecified,16,dev_0107,no,I don't know.,i,idk,IDK,0.6339
underspecified,16,dev_0120,yes,NO,no,no,Incorrect,2.2777
underspecified,16,dev_0138,no,YES,yes,yes,Incorrect,1.0268
underspecified,16,dev_0151,no,NO,no,no,Correct,1.0003
underspecified,16,dev_0163,yes,"NO, the square root of 2 cannot be written as a fraction; it",no,no,Incorrect,1.0645
underspecified,16,dev_0165,no,"YES, dragon fruit and pitaya are the same thing. They are two names",yes,yes,Incorrect,0.9881
underspecified,16,dev_0207,no,NO,no,no,Correct,0.9598
underspecified,16,dev_0210,no,YES,yes,yes,Incorrect,0.9964
underspecified,16,dev_0221,no,YES,yes,yes,Incorrect,1.0335
underspecified,16,dev_0229,yes,YES,yes,yes,Correct,0.955
underspecified,16,dev_0237,no,I don't know.,i,idk,IDK,2.3451
underspecified,16,dev_0243,no,YES,yes,yes,Incorrect,0.9524
underspecified,16,dev_0248,yes,NO,no,no,Incorrect,0.9542
underspecified,16,dev_0249,yes,"NO, queen ants do not give birth to queen ants. Queen ants are produced",no,no,Incorrect,0.9933
underspecified,16,dev_0251,yes,YES,yes,yes,Correct,0.525
underspecified,16,dev_0257,yes,NO,no,no,Incorrect,1.0044
underspecified,16,dev_0270,no,"YES, there are three U.S. states where the drinking age is 18",yes,yes,Incorrect,1.0051
underspecified,16,dev_0287,yes,NO,no,no,Incorrect,1.0059
underspecified,16,dev_0295,no,"YES, there is a difference between doves and pigeons. Doves are",yes,yes,Incorrect,1.0004
underspecified,16,dev_0298,yes,NO,no,no,Incorrect,0.9521000000000001
underspecified,16,dev_0312,no,"NO, adjectives do not have to come before a noun. They can also come",no,no,Correct,1.0232999999999999
underspecified,16,dev_0316,yes,NO,no,no,Incorrect,1.0069
underspecified,16,dev_0318,yes,YES,yes,yes,Correct,1.002
underspecified,16,dev_0321,yes,"NO, a filibuster cannot stop a Supreme Court nominee because Supreme Court nominations",no,no,Incorrect,1.0717
underspecified,16,dev_0333,yes,NO,no,no,Incorrect,1.038
underspecified,16,dev_0336,no,YES,yes,yes,Incorrect,1.001
underspecified,16,dev_0343,yes,NO,no,no,Incorrect,1.0229
underspecified,16,dev_0352,no,NO,no,no,Correct,1.0259
underspecified,16,dev_0355,no,NO,no,no,Correct,1.003
underspecified,16,dev_0364,no,YES,yes,yes,Incorrect,1.0252999999999999
underspecified,16,dev_0366,no,"YES, the pelvic brim (or pelvic inlet) separates the abdominal cavity and pelvic",yes,yes,Incorrect,0.9942000000000001
underspecified,16,dev_0406,no,YES,yes,yes,Incorrect,0.992
underspecified,16,dev_0428,no,NO,no,no,Correct,2.3594
underspecified,16,dev_0429,yes,NO,no,no,Incorrect,1.0005
underspecified,16,dev_0430,yes,NO,no,no,Incorrect,1.0249000000000001
underspecified,16,dev_0436,no,YES,yes,yes,Incorrect,1.0728
underspecified,16,dev_0441,no,NO,no,no,Correct,1.0022
underspecified,16,dev_0442,yes,YES,yes,yes,Correct,0.5639
underspecified,16,dev_0479,no,YES,yes,yes,Incorrect,1.0305
underspecified,16,dev_0481,no,NO,no,no,Correct,0.9995
underspecified,16,dev_0482,no,NO,no,no,Correct,1.0354
underspecified,16,dev_0487,no,YES,yes,yes,Incorrect,0.9567
underspecified,16,dev_0504,yes,NO,no,no,Incorrect,0.9981
underspecified,16,dev_0509,no,"Yes, the AR-15 is used in the military.",yes,yes,Incorrect,0.9977
underspecified,16,dev_0532,no,YES,yes,yes,Incorrect,1.0055
underspecified,16,dev_0534,no,YES,yes,yes,Incorrect,1.0272000000000001
underspecified,16,dev_0536,yes,NO,no,no,Incorrect,1.0395
underspecified,16,dev_0537,no,NO,no,no,Correct,1.0367
underspecified,16,dev_0546,yes,NO,no,no,Incorrect,0.9577
underspecified,16,dev_0560,no,NO,no,no,Correct,1.0005
underspecified,16,dev_0568,no,NO,no,no,Correct,0.5642
underspecified,16,dev_0569,no,"NO, the NBA salary cap is not a hard cap; it is a soft",no,no,Correct,0.9595
underspecified,16,dev_0588,yes,NO,no,no,Incorrect,0.9592999999999999
underspecified,16,dev_0594,no,NO,no,no,Correct,1.0631
underspecified,16,dev_0596,no,NO,no,no,Correct,1.0321
underspecified,16,dev_0598,yes,NO,no,no,Incorrect,0.624
underspecified,16,dev_0612,yes,"NO, popcorn is made from popped corn kernels, not corn on the cob.",no,no,Incorrect,1.0032
underspecified,16,dev_0617,yes,YES,yes,yes,Correct,0.9967
underspecified,16,dev_0662,yes,NO,no,no,Incorrect,0.9555
underspecified,16,dev_0678,no,"NO, it is not safe to wash your kid's mouth out with soap.",no,no,Correct,0.9569
underspecified,16,dev_0696,no,"YES, New Hampshire has a seat belt law.",yes,yes,Incorrect,0.8899
underspecified,16,dev_0711,yes,NO,no,no,Incorrect,0.9923
underspecified,16,dev_0718,yes,"NO, Chicago is the third largest city in Illinois, not the United States.",no,no,Incorrect,1.0342
underspecified,16,dev_0724,no,NO,no,no,Correct,0.9995
underspecified,16,dev_0731,no,I don't know.,i,idk,IDK,0.6262000000000001
underspecified,16,dev_0737,no,NO,no,no,Correct,0.9993
underspecified,16,dev_0754,yes,"NO, World at War is not part of Black Ops. It is a separate",no,no,Incorrect,1.0344
underspecified,16,dev_0759,no,NO,no,no,Correct,0.9508
underspecified,16,dev_0764,yes,NO,no,no,Incorrect,0.956
underspecified,16,dev_0782,yes,NO,no,no,Incorrect,0.9977
underspecified,16,dev_0817,no,I don't know.,i,idk,IDK,0.6568999999999999
underspecified,16,dev_0829,no,YES,yes,yes,Incorrect,0.9967999999999999
underspecified,16,dev_0832,no,YES,yes,yes,Incorrect,2.3541
underspecified,16,dev_0837,yes,NO,no,no,Incorrect,0.9512999999999999
underspecified,16,dev_0853,no,NO,no,no,Correct,0.9994
underspecified,16,dev_0854,no,NO,no,no,Correct,0.9587
underspecified,16,dev_0862,no,NO,no,no,Correct,0.9993
underspecified,16,dev_0871,yes,NO,no,no,Incorrect,0.5241
underspecified,16,dev_0916,yes,NO,no,no,Incorrect,0.9983
underspecified,16,dev_0922,yes,NO,no,no,Incorrect,0.9985
underspecified,16,dev_0933,no,YES,yes,yes,Incorrect,0.9964
underspecified,16,dev_0934,yes,NO,no,no,Incorrect,1.0278
underspecified,16,dev_0940,yes,NO,no,no,Incorrect,0.9974
underspecified,16,dev_0944,no,YES,yes,yes,Incorrect,1.03
